alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,cal_null_size,n_cal
0.1,536,143,263,35,228,0.13307984790874525,0.3825503355704698,0.030649728469549643,0.4,4919,14,betting,all,5719
0.15,536,168,342,65,277,0.19005847953216373,0.46476510067114096,0.048436361142566955,0.4,4919,14,betting,all,5719
0.2,536,175,365,75,290,0.2054794520547945,0.4865771812080537,0.05407779682131606,0.4,4919,14,betting,all,5719
0.05,536,127,240,27,213,0.1125,0.3435483870967742,0.017457940560356114,0.4,5655,15,betting,all,5548
0.1,536,150,281,39,242,0.1387900355871886,0.3903225806451613,0.028341025137470537,0.4,5655,15,betting,all,5548
0.15,536,177,383,82,301,0.21409921671018275,0.4854838709677419,0.0530566040191773,0.4,5655,15,betting,all,5548
0.2,536,186,410,95,315,0.23170731707317074,0.5080645161290323,0.06163265806661877,0.4,5655,15,betting,all,5548
0.05,536,115,196,16,180,0.08163265306122448,0.29411764705882354,0.014595582692597617,0.4,5280,16,betting,all,5935
0.1,536,132,240,31,209,0.12916666666666668,0.3415032679738562,0.02333866382373845,0.4,5280,16,betting,all,5935
0.15,536,152,303,54,249,0.1782178217821782,0.4068627450980392,0.038175195451314856,0.4,5280,16,betting,all,5935
0.2,536,169,341,67,274,0.19648093841642228,0.4477124183006536,0.050205816157308694,0.4,5280,16,betting,all,5935
0.05,536,111,207,19,188,0.09178743961352658,0.27485380116959063,0.010327825159914714,0.4,5538,17,betting,all,5988
0.1,536,132,262,42,220,0.16030534351145037,0.3216374269005848,0.03068387817995044,0.4,5538,17,betting,all,5988
0.15,536,168,395,92,303,0.23291139240506328,0.44298245614035087,0.048782063579724935,0.4,5538,17,betting,all,5988
0.2,536,168,395,92,303,0.23291139240506328,0.44298245614035087,0.048782063579724935,0.4,5538,17,betting,all,5988
0.05,536,131,251,28,223,0.11155378486055777,0.28050314465408804,0.01918213420079092,0.4,6154,18,betting,all,4651
0.1,536,165,352,63,289,0.17897727272727273,0.3635220125786163,0.04221126510305615,0.4,6154,18,betting,all,4651
0.15,536,191,511,150,361,0.29354207436399216,0.4540880503144654,0.0714149197056589,0.4,6154,18,betting,all,4651
0.2,536,191,511,150,361,0.29354207436399216,0.4540880503144654,0.0714149197056589,0.4,6154,18,betting,all,4651
0.05,536,114,266,13,253,0.04887218045112782,0.30083234244946494,0.009771085050935798,0.4,7051,19,betting,all,4999
0.1,536,129,304,23,281,0.0756578947368421,0.3341260404280618,0.019435829510456377,0.4,7051,19,betting,all,4999
0.15,536,173,495,109,386,0.2202020202020202,0.4589774078478002,0.05723109622643065,0.4,7051,19,betting,all,4999
0.2,536,173,495,109,386,0.2202020202020202,0.4589774078478002,0.05723109622643065,0.4,7051,19,betting,all,4999
