family_id,dataset,image_id,category_id,category_name,prompt,is_prompt_absent,num_candidates,num_rejected,fp,tp,fdp
coco:472:16:1414,coco,472,16,pottedplant,pottedplant,True,5,0,0,0,0.0
coco:473:14:1417,coco,473,14,motorbike,motorbike,True,1,0,0,0,0.0
coco:474:15:1419,coco,474,15,person,person,False,10,0,0,0,0.0
coco:474:19:1420,coco,474,19,train,train,True,14,0,0,0,0.0
coco:475:20:1422,coco,475,20,tvmonitor,tvmonitor,False,21,0,0,0,0.0
coco:476:19:1426,coco,476,19,train,train,True,2,0,0,0,0.0
coco:476:20:1427,coco,476,20,tvmonitor,tvmonitor,True,13,0,0,0,0.0
coco:477:11:1430,coco,477,11,diningtable,diningtable,True,6,0,0,0,0.0
coco:477:16:1429,coco,477,16,pottedplant,pottedplant,True,4,0,0,0,0.0
coco:47:1:139,coco,47,1,aeroplane,aeroplane,True,8,0,0,0,0.0
coco:47:20:140,coco,47,20,tvmonitor,tvmonitor,True,22,0,0,0,0.0
coco:480:11:1439,coco,480,11,diningtable,diningtable,True,8,0,0,0,0.0
coco:480:15:1437,coco,480,15,person,person,False,53,0,0,0,0.0
coco:481:16:1441,coco,481,16,pottedplant,pottedplant,True,6,0,0,0,0.0
coco:482:15:1443,coco,482,15,person,person,False,28,0,0,0,0.0
coco:482:16:1444,coco,482,16,pottedplant,pottedplant,True,4,0,0,0,0.0
coco:482:6:1445,coco,482,6,bus,bus,True,2,0,0,0,0.0
coco:483:15:1446,coco,483,15,person,person,False,14,0,0,0,0.0
coco:484:1:1450,coco,484,1,aeroplane,aeroplane,True,15,0,0,0,0.0
coco:484:4:1449,coco,484,4,boat,boat,False,14,0,0,0,0.0
coco:485:13:1453,coco,485,13,horse,horse,True,1,0,0,0,0.0
coco:485:19:1452,coco,485,19,train,train,False,1,0,0,0,0.0
coco:485:3:1454,coco,485,3,bird,bird,True,2,0,0,0,0.0
coco:486:15:1457,coco,486,15,person,person,True,9,0,0,0,0.0
coco:486:4:1455,coco,486,4,boat,boat,False,5,0,0,0,0.0
coco:487:2:1460,coco,487,2,bicycle,bicycle,True,5,0,0,0,0.0
coco:489:7:1464,coco,489,7,car,car,False,5,0,0,0,0.0
