alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.15,29,1,1,0,1,0.0,0.03571428571428571,0.0,0.0,0,16,betting,K<=5
0.2,58,23,46,0,46,0.0,0.04867724867724868,0.0,0.0,0,16,betting,K>30
0.2,94,28,29,0,29,0.0,0.060291060291060294,0.0,0.0,0,16,betting,5<K<=30
0.2,29,1,1,0,1,0.0,0.03571428571428571,0.0,0.0,0,16,betting,K<=5
0.05,50,0,0,0,0,0.0,0.0,0.0,0.0,0,17,betting,K>30
0.05,101,13,14,0,14,0.0,0.02491103202846975,0.0,0.0,0,17,betting,5<K<=30
0.05,30,1,1,0,1,0.0,0.030303030303030304,0.0,0.0,0,17,betting,K<=5
0.1,50,7,17,0,17,0.0,0.022941970310391364,0.0,0.0,0,17,betting,K>30
0.1,101,30,31,0,31,0.0,0.05516014234875445,0.0,0.0,0,17,betting,5<K<=30
0.1,30,1,1,0,1,0.0,0.030303030303030304,0.0,0.0,0,17,betting,K<=5
0.15,50,12,26,0,26,0.0,0.03508771929824561,0.0,0.0,0,17,betting,K>30
0.15,101,34,35,0,35,0.0,0.06227758007117438,0.0,0.0,0,17,betting,5<K<=30
0.15,30,1,1,0,1,0.0,0.030303030303030304,0.0,0.0,0,17,betting,K<=5
0.2,50,12,26,0,26,0.0,0.03508771929824561,0.0,0.0,0,17,betting,K>30
0.2,101,34,35,0,35,0.0,0.06227758007117438,0.0,0.0,0,17,betting,5<K<=30
0.2,30,1,1,0,1,0.0,0.030303030303030304,0.0,0.0,0,17,betting,K<=5
0.05,63,1,3,0,3,0.0,0.0032502708559046588,0.0,0.0,0,18,betting,K>30
0.05,90,17,22,0,22,0.0,0.04036697247706422,0.0,0.0,0,18,betting,5<K<=30
0.05,28,0,0,0,0,0.0,0.0,0.0,0.0,0,18,betting,K<=5
0.1,63,6,16,0,16,0.0,0.01733477789815818,0.0,0.0,0,18,betting,K>30
0.1,90,33,38,0,38,0.0,0.06972477064220184,0.0,0.0,0,18,betting,5<K<=30
0.1,28,0,0,0,0,0.0,0.0,0.0,0.0,0,18,betting,K<=5
0.15,63,13,24,0,24,0.0,0.02600216684723727,0.0,0.0,0,18,betting,K>30
0.15,90,33,38,0,38,0.0,0.06972477064220184,0.0,0.0,0,18,betting,5<K<=30
0.15,28,0,0,0,0,0.0,0.0,0.0,0.0,0,18,betting,K<=5
0.2,63,17,31,0,31,0.0,0.03358613217768147,0.0,0.0,0,18,betting,K>30
0.2,90,33,38,0,38,0.0,0.06972477064220184,0.0,0.0,0,18,betting,5<K<=30
0.2,28,0,0,0,0,0.0,0.0,0.0,0.0,0,18,betting,K<=5
0.05,72,2,7,0,7,0.0,0.007838745800671893,0.0,0.0,0,19,betting,K>30
0.05,93,14,19,0,19,0.0,0.03270223752151463,0.0,0.0,0,19,betting,5<K<=30
0.05,16,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,K<=5
0.1,72,9,29,0,29,0.0,0.032474804031354984,0.0,0.0,0,19,betting,K>30
0.1,93,25,30,0,30,0.0,0.05163511187607573,0.0,0.0,0,19,betting,5<K<=30
0.1,16,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,K<=5
0.15,72,22,45,0,45,0.0,0.05039193729003359,0.0,0.0,0,19,betting,K>30
0.15,93,25,30,0,30,0.0,0.05163511187607573,0.0,0.0,0,19,betting,5<K<=30
0.15,16,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,K<=5
0.2,72,25,50,0,50,0.0,0.055991041433370664,0.0,0.0,0,19,betting,K>30
0.2,93,25,30,0,30,0.0,0.05163511187607573,0.0,0.0,0,19,betting,5<K<=30
0.2,16,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,K<=5
