bin,left,right,null_count,tp_count,p0,p1,raw_evalue,evalue
35,0.06062216032296415,0.06096739768981926,91,3,0.00676818950930626,0.0021929824561403508,0.32401315789473684,0.32401315789473684
36,0.06096739768981926,0.06135279200971126,87,7,0.006473920400205988,0.0043859649122807015,0.6774820574162679,0.6774820574162679
37,0.06135279200971126,0.061794390529394116,94,1,0.006988891341131465,0.0010964912280701754,0.15689058171745152,0.15689058171745152
38,0.061794390529394116,0.06218551304191344,92,2,0.006841756786581329,0.001644736842105263,0.24039685908319183,0.24039685908319183
39,0.06218551304191344,0.0625606924295425,91,3,0.00676818950930626,0.0021929824561403508,0.32401315789473684,0.32401315789473684
40,0.0625606924295425,0.06293903961777682,94,1,0.006988891341131465,0.0010964912280701754,0.15689058171745152,0.15689058171745152
41,0.06293903961777682,0.06335344091057776,93,1,0.006915324063856396,0.0010964912280701754,0.15855963045912655,0.15855963045912655
42,0.06335344091057776,0.06371374465525148,88,7,0.006547487677481057,0.0043859649122807015,0.6698698994677704,0.6698698994677704
43,0.06371374465525148,0.0641592279076576,90,4,0.006694622232031193,0.0027412280701754384,0.4094671775592828,0.4094671775592828
44,0.0641592279076576,0.06459142267704002,90,4,0.006694622232031193,0.0027412280701754384,0.4094671775592828,0.4094671775592828
45,0.06459142267704002,0.06498943790793418,92,3,0.006841756786581329,0.0021929824561403508,0.32052914544425576,0.32052914544425576
46,0.06498943790793418,0.0654174737632274,92,2,0.006841756786581329,0.001644736842105263,0.24039685908319183,0.24039685908319183
47,0.0654174737632274,0.06585170775651931,93,1,0.006915324063856396,0.0010964912280701754,0.15855963045912655,0.15855963045912655
48,0.06585170775651931,0.06625494696199886,94,1,0.006988891341131465,0.0010964912280701754,0.15689058171745152,0.15689058171745152
49,0.06625494696199886,0.06667694076895711,93,1,0.006915324063856396,0.0010964912280701754,0.15855963045912655,0.15855963045912655
50,0.06667694076895711,0.06704672425985328,93,1,0.006915324063856396,0.0010964912280701754,0.15855963045912655,0.15855963045912655
51,0.06704672425985328,0.06758536398410792,92,3,0.006841756786581329,0.0021929824561403508,0.32052914544425576,0.32052914544425576
52,0.06758536398410792,0.06803090348839756,91,3,0.00676818950930626,0.0021929824561403508,0.32401315789473684,0.32401315789473684
53,0.06803090348839756,0.06857841312885284,92,2,0.006841756786581329,0.001644736842105263,0.24039685908319183,0.24039685908319183
54,0.06857841312885284,0.06901735067367552,93,2,0.006915324063856396,0.001644736842105263,0.2378394456886898,0.2378394456886898
55,0.06901735067367552,0.0694551452994346,89,5,0.006621054954756124,0.003289473684210526,0.49682017543859647,0.49682017543859647
56,0.0694551452994346,0.06989117525517936,90,4,0.006694622232031193,0.0027412280701754384,0.4094671775592828,0.4094671775592828
57,0.06989117525517936,0.07042337730526918,93,2,0.006915324063856396,0.001644736842105263,0.2378394456886898,0.2378394456886898
58,0.07042337730526918,0.07085864394903182,93,1,0.006915324063856396,0.0010964912280701754,0.15855963045912655,0.15855963045912655
