template_count,template,seeds,own_model_rate,phi_max_mean,phi_max_p95,phi_max_max,fit_families_mean,cal_families_mean,fit_candidates_mean,cal_candidates_mean
100,a {category} near equipment,20,0.85,6.579590914132693,11.588398930998798,13.410026079397277,7.75,2.9,151.2,63.5
100,a {category} near food,20,1.0,3.8597534661169703,5.904720897367957,6.405228758169935,12.6,4.1,244.65,79.45
100,a {category} near furniture,20,0.95,4.475048107042604,9.203185753604515,13.30422140120416,12.2,4.6,292.35,105.65
100,a {category} near shadows,20,0.65,6.181953681537528,13.68844618075723,14.206956102144732,5.3,2.1,200.65,67.55
100,a {category} near text or signs,20,1.0,4.890134128529513,7.032835820895524,10.656716417910449,9.05,3.05,151.05,49.7
100,a {category} near the camera,20,0.5,7.280335009467819,13.849115208254938,14.206956102144732,8.45,2.85,248.0,58.05
100,a {category} near the edge of the image,20,0.35,9.518921733247698,13.849115208254938,14.206956102144732,7.7,2.1,147.15,44.95
100,a {category} near vegetation,20,0.7,6.271612889489646,13.572251470388629,13.83028147699758,9.35,3.7,287.95,122.45
100,a {category} near water,20,0.65,7.282834994260591,13.572251470388629,13.83028147699758,10.85,3.55,270.35,97.55
100,a {category} next to a wall,20,1.0,4.7838248429186185,9.83626565954311,9.945652173913045,8.65,3.65,152.35,67.95
100,a {category} object,20,0.9,4.75119815977545,12.95186927088054,13.335491241431836,6.95,2.7,256.85,117.55
100,a {category} on a shelf,20,0.0,12.844148440659634,14.149064872690282,14.206956102144732,9.8,3.0,221.5,71.75
100,a {category} on a table,20,0.6,7.811214004829954,13.240429922495256,14.206956102144732,5.5,1.45,80.2,26.3
100,a {category} on the ground,20,0.7,6.521215975803855,13.591085201645987,14.206956102144732,7.55,2.55,171.85,60.95
100,a {category} outdoors,20,0.75,6.264926101277096,13.376017577654089,14.14601796587689,8.0,2.9,183.95,64.05
100,a {category} overlapping another object,20,0.8,5.625820508544431,13.572251470388629,13.83028147699758,9.85,2.85,288.9,85.4
100,a {category} partly hidden,20,0.85,4.579095434623609,13.376017577654089,14.14601796587689,7.45,2.25,285.55,80.3
100,a {category} seen from above,20,0.7,6.692985242099337,13.44987258053465,14.206956102144732,7.6,2.3,258.05,70.2
100,a {category} seen from below,20,1.0,4.199476006156192,7.095568783068783,7.328042328042328,11.55,3.3,262.3,85.65
100,a {category} separated from other objects,20,0.8,5.4360586258277745,13.588038294832595,14.14601796587689,9.6,2.95,376.3,111.15
100,a {category} turned away,20,0.5,8.219465623224842,14.149064872690282,14.206956102144732,10.9,4.15,417.1,148.6
100,a {category} under daylight,20,0.9,4.166630228945491,12.968152518053685,13.66115618489473,9.95,2.9,276.25,92.75
100,a {category} with clear shape,20,0.2,11.224196784483057,13.846068301441546,14.14601796587689,6.75,1.9,189.8,55.15
100,a {category} with neutral color,20,0.95,4.563484300487657,8.933153931675765,12.41307863351526,8.85,3.4,241.9,115.65
100,a {category} with occlusion,20,0.75,5.900627351054348,13.346311229437797,14.14601796587689,7.65,2.55,168.0,70.25
100,a {category} with strong color,20,0.35,8.815486756120073,13.591085201645987,14.206956102144732,6.65,1.85,178.6,47.55
100,a {category} with visible outline,20,1.0,4.8350610787553965,6.931779144503546,7.252604166666667,9.1,3.15,416.15,149.0
100,a {category} without occlusion,20,0.4,8.705985717496791,13.346650226546494,13.558670943725,8.3,3.65,84.4,38.45
100,an actual {category},20,0.8,4.96447392173763,13.168647832900538,13.558670943725,6.55,2.45,144.9,62.4
100,an image showing a {category},20,0.95,4.004246720120408,5.633711070060214,13.30422140120416,13.05,5.05,368.8,145.0
100,the {category} in this image,20,0.55,7.659393955575877,13.846068301441546,14.14601796587689,8.8,2.05,168.7,35.7
200,I do not see a {category},20,0.0,12.844148440659634,14.149064872690282,14.206956102144732,5.05,1.5,119.45,40.75
200,a blurry {category},20,1.0,3.843055569564052,4.901762820512821,6.2019230769230775,10.1,3.85,424.75,160.7
200,a bright {category},20,0.55,4.140856243633115,5.392649058094759,5.490542530297882,3.75,1.25,97.5,34.4
200,a candidate {category},20,0.4,8.852469242960549,14.149064872690282,14.206956102144732,6.25,2.35,70.0,27.95
200,a clean view of a {category},20,0.0,7.941773975359318,13.417458322613664,13.558670943725,2.3,1.5,75.0,64.35
200,a clear photo of a {category},20,0.75,3.8828715977022967,12.462926005809361,13.410026079397277,5.2,1.4,63.9,14.7
200,a close-up of a {category},20,0.55,6.644769384711182,14.149064872690282,14.206956102144732,4.45,1.8,152.15,50.15
200,a cropped view of a {category},20,0.9,4.882588918833217,12.92133871765474,13.410026079397277,7.55,2.15,223.95,58.2
200,a crowded scene with a {category},20,0.0,11.575252841866114,13.849115208254938,14.206956102144732,4.45,1.8,87.35,37.6
200,a dark {category},20,0.75,6.263195017040744,13.42258258467215,13.66115618489473,5.5,2.15,110.8,36.85
200,a distant {category},20,0.05,12.526625517544705,14.149064872690282,14.206956102144732,3.0,1.45,40.8,19.0
200,a front view of a {category},20,0.6,6.7658065242358445,14.149064872690282,14.206956102144732,4.6,1.3,191.1,64.85
200,a full view of a {category},20,0.65,6.861402029309437,14.149064872690282,14.206956102144732,4.15,1.4,120.1,43.3
200,a group of {category} objects,20,0.3,9.270741457469441,13.431038849277291,13.83028147699758,4.25,1.65,87.9,38.4
200,a hanging {category},20,0.0,12.492869347488075,14.149064872690282,14.206956102144732,6.2,1.85,169.4,55.1
200,a high-resolution view of a {category},20,0.55,6.565306396814746,13.316943878330202,13.558670943725,3.75,1.1,127.1,24.0
200,a household scene with a {category},20,0.4,8.23244153590629,14.149064872690282,14.206956102144732,6.55,2.1,241.25,69.95
200,a kitchen scene with a {category},20,0.9,5.047066141887418,11.584672189100527,13.335491241431836,4.15,1.3,71.1,23.5
200,a large {category},20,0.7,5.620393049609835,13.591085201645987,14.206956102144732,7.35,2.95,135.2,53.7
200,a likely {category},20,0.55,7.994935847578351,14.149064872690282,14.206956102144732,5.35,1.5,273.5,93.95
200,a living area with a {category},20,0.5,7.776041268080029,13.05546178453348,13.66115618489473,5.65,2.25,179.05,79.15
200,a low-resolution view of a {category},20,0.4,8.305566314716648,14.149064872690282,14.206956102144732,2.6,0.7,58.8,16.35
200,a lying {category},20,0.75,4.0521326084992335,5.806451612903226,5.806451612903226,1.2,0.55,54.15,26.4
200,a man-made {category},20,0.8,5.830677433721478,13.195293187448227,13.30422140120416,7.45,2.35,104.05,32.6
200,a market scene with a {category},20,0.9,5.227823431493732,7.595656162017354,12.47763936937928,3.7,1.85,171.4,108.1
200,a messy view of a {category},20,0.0,9.781326489673877,14.149064872690282,14.206956102144732,3.9,1.6,134.65,41.25
200,a moving {category},20,0.0,9.818748735578353,14.149064872690282,14.206956102144732,4.8,1.45,176.1,41.2
200,a natural image of a {category},20,0.4,7.767803028530923,13.68844618075723,14.206956102144732,4.25,1.75,140.95,54.2
200,a natural {category},20,0.85,9.185517021143067,14.079590912963432,22.029850746268654,5.5,1.45,159.95,35.55
200,a nearby {category},20,0.0,10.251277430512332,14.149064872690282,14.206956102144732,2.2,0.5,27.5,5.15
200,a park scene with a {category},20,0.7,6.136315568836542,13.376017577654089,14.14601796587689,3.95,1.35,113.0,32.85
200,a parked {category},20,0.0,8.31921970672645,13.446825673721257,14.14601796587689,1.7,0.65,107.25,28.95
200,a partial view of a {category},20,0.75,4.918231905568229,13.849115208254938,14.206956102144732,4.7,1.65,106.45,34.15
