alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.05,12,0,0,0,0,0.0,0.0,0.0,0.0,0,17,betting,K>30
0.05,70,22,26,0,26,0.0,0.24299065420560748,0.0,0.0,0,17,betting,K<=5
0.05,75,2,3,0,3,0.0,0.011811023622047244,0.0,0.0,0,17,betting,5<K<=30
0.1,12,0,0,0,0,0.0,0.0,0.0,0.0,0,17,betting,K>30
0.1,70,43,48,1,47,0.020833333333333332,0.4392523364485981,0.014285714285714285,0.0,0,17,betting,K<=5
0.1,75,5,6,0,6,0.0,0.023622047244094488,0.0,0.0,0,17,betting,5<K<=30
0.15,12,0,0,0,0,0.0,0.0,0.0,0.0,0,17,betting,K>30
0.15,70,55,61,1,60,0.01639344262295082,0.5607476635514018,0.014285714285714285,0.0,0,17,betting,K<=5
0.15,75,6,8,0,8,0.0,0.031496062992125984,0.0,0.0,0,17,betting,5<K<=30
0.2,12,0,0,0,0,0.0,0.0,0.0,0.0,0,17,betting,K>30
0.2,70,56,66,1,65,0.015151515151515152,0.6074766355140186,0.014285714285714285,0.0,0,17,betting,K<=5
0.2,75,9,13,0,13,0.0,0.051181102362204724,0.0,0.0,0,17,betting,5<K<=30
0.05,25,0,0,0,0,0.0,0.0,0.0,0.0,0,18,betting,K>30
0.05,66,3,5,1,4,0.2,0.023121387283236993,0.007575757575757576,0.0,0,18,betting,5<K<=30
0.05,66,31,31,0,31,0.0,0.3163265306122449,0.0,0.0,0,18,betting,K<=5
0.1,25,0,0,0,0,0.0,0.0,0.0,0.0,0,18,betting,K>30
0.1,66,3,9,1,8,0.1111111111111111,0.046242774566473986,0.003787878787878788,0.0,0,18,betting,5<K<=30
0.1,66,39,46,0,46,0.0,0.46938775510204084,0.0,0.0,0,18,betting,K<=5
0.15,25,0,0,0,0,0.0,0.0,0.0,0.0,0,18,betting,K>30
0.15,66,9,22,8,14,0.36363636363636365,0.08092485549132948,0.026515151515151516,0.0,0,18,betting,5<K<=30
0.15,66,55,68,4,64,0.058823529411764705,0.6530612244897959,0.05303030303030303,0.0,0,18,betting,K<=5
0.2,25,0,0,0,0,0.0,0.0,0.0,0.0,0,18,betting,K>30
0.2,66,12,28,8,20,0.2857142857142857,0.11560693641618497,0.026515151515151516,0.0,0,18,betting,5<K<=30
0.2,66,59,74,4,70,0.05405405405405406,0.7142857142857143,0.045454545454545456,0.0,0,18,betting,K<=5
0.05,20,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,K>30
0.05,68,21,24,0,24,0.0,0.22857142857142856,0.0,0.0,0,19,betting,K<=5
0.05,69,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,5<K<=30
0.1,20,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,K>30
0.1,68,43,47,2,45,0.0425531914893617,0.42857142857142855,0.029411764705882353,0.0,0,19,betting,K<=5
0.1,69,1,3,0,3,0.0,0.013888888888888888,0.0,0.0,0,19,betting,5<K<=30
0.15,20,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,K>30
0.15,68,57,63,2,61,0.031746031746031744,0.580952380952381,0.029411764705882353,0.0,0,19,betting,K<=5
0.15,69,3,7,0,7,0.0,0.032407407407407406,0.0,0.0,0,19,betting,5<K<=30
0.2,20,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,K>30
0.2,68,57,63,2,61,0.031746031746031744,0.580952380952381,0.029411764705882353,0.0,0,19,betting,K<=5
0.2,69,11,17,1,16,0.058823529411764705,0.07407407407407407,0.014492753623188406,0.0,0,19,betting,5<K<=30
