alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum_fine
0.05,23,5,13,1,12,0.07692307692307693,0.10810810810810811,0.014492753623188404,0.4,611,1,betting,21<=K<=50
0.05,33,6,9,0,9,0.0,0.07142857142857142,0.0,0.4,424,1,betting,11<=K<=20
0.05,44,13,19,0,19,0.0,0.24675324675324675,0.0,0.4,284,1,betting,6<=K<=10
0.05,7,0,0,0,0,0.0,0.0,0.0,0.4,607,1,betting,K>50
0.1,52,14,16,0,16,0.0,0.2,0.0,0.4,162,1,betting,3<=K<=5
0.1,90,21,23,0,23,0.0,0.359375,0.0,0.4,82,1,betting,K<=2
0.1,23,10,28,6,22,0.21428571428571427,0.1981981981981982,0.09130434782608696,0.4,611,1,betting,21<=K<=50
0.1,33,8,13,1,12,0.07692307692307693,0.09523809523809523,0.015151515151515152,0.4,424,1,betting,11<=K<=20
0.1,44,20,27,0,27,0.0,0.35064935064935066,0.0,0.4,284,1,betting,6<=K<=10
0.1,7,0,0,0,0,0.0,0.0,0.0,0.4,607,1,betting,K>50
0.15,52,21,26,0,26,0.0,0.325,0.0,0.4,162,1,betting,3<=K<=5
0.15,90,27,29,0,29,0.0,0.453125,0.0,0.4,82,1,betting,K<=2
0.15,23,15,39,7,32,0.1794871794871795,0.2882882882882883,0.09565217391304348,0.4,611,1,betting,21<=K<=50
0.15,33,10,19,2,17,0.10526315789473684,0.1349206349206349,0.0202020202020202,0.4,424,1,betting,11<=K<=20
0.15,44,24,33,1,32,0.030303030303030304,0.4155844155844156,0.022727272727272728,0.4,284,1,betting,6<=K<=10
0.15,7,0,0,0,0,0.0,0.0,0.0,0.4,607,1,betting,K>50
0.2,52,25,35,0,35,0.0,0.4375,0.0,0.4,162,1,betting,3<=K<=5
0.2,90,32,34,1,33,0.029411764705882353,0.515625,0.011111111111111112,0.4,82,1,betting,K<=2
0.2,23,20,62,15,47,0.24193548387096775,0.42342342342342343,0.22039337474120083,0.4,611,1,betting,21<=K<=50
0.2,33,17,34,7,27,0.20588235294117646,0.21428571428571427,0.101010101010101,0.4,424,1,betting,11<=K<=20
0.2,44,26,42,4,38,0.09523809523809523,0.4935064935064935,0.03787878787878787,0.4,284,1,betting,6<=K<=10
0.2,7,4,38,22,16,0.5789473684210527,0.2909090909090909,0.19642857142857142,0.4,607,1,betting,K>50
0.05,39,14,18,0,18,0.0,0.23076923076923078,0.0,0.4,259,2,betting,6<=K<=10
0.05,34,4,5,0,5,0.0,0.025252525252525252,0.0,0.4,1045,2,betting,21<=K<=50
0.05,86,21,22,0,22,0.0,0.36666666666666664,0.0,0.4,78,2,betting,K<=2
0.05,53,14,16,0,16,0.0,0.2077922077922078,0.0,0.4,160,2,betting,3<=K<=5
0.05,33,8,10,0,10,0.0,0.11764705882352941,0.0,0.4,417,2,betting,11<=K<=20
0.05,4,0,0,0,0,0.0,0.0,0.0,0.4,370,2,betting,K>50
0.1,39,17,22,0,22,0.0,0.28205128205128205,0.0,0.4,259,2,betting,6<=K<=10
0.1,34,7,9,0,9,0.0,0.045454545454545456,0.0,0.4,1045,2,betting,21<=K<=50
0.1,86,27,28,1,27,0.03571428571428571,0.45,0.011627906976744186,0.4,78,2,betting,K<=2
0.1,53,19,24,0,24,0.0,0.3116883116883117,0.0,0.4,160,2,betting,3<=K<=5
0.1,33,11,16,0,16,0.0,0.18823529411764706,0.0,0.4,417,2,betting,11<=K<=20
0.1,4,0,0,0,0,0.0,0.0,0.0,0.4,370,2,betting,K>50
0.15,39,19,26,0,26,0.0,0.3333333333333333,0.0,0.4,259,2,betting,6<=K<=10
0.15,34,9,24,0,24,0.0,0.12121212121212122,0.0,0.4,1045,2,betting,21<=K<=50
0.15,86,27,28,1,27,0.03571428571428571,0.45,0.011627906976744186,0.4,78,2,betting,K<=2
0.15,53,19,24,0,24,0.0,0.3116883116883117,0.0,0.4,160,2,betting,3<=K<=5
0.15,33,11,17,0,17,0.0,0.2,0.0,0.4,417,2,betting,11<=K<=20
0.15,4,0,0,0,0,0.0,0.0,0.0,0.4,370,2,betting,K>50
0.2,39,25,37,5,32,0.13513513513513514,0.41025641025641024,0.06837606837606837,0.4,259,2,betting,6<=K<=10
