alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,cal_null_size,n_cal
0.15,249,96,156,11,145,0.07051282051282051,0.27153558052434457,0.02600879709313444,0.3,1737,13,betting,all,2071
0.2,249,117,197,17,180,0.08629441624365482,0.33707865168539325,0.03578122011856952,0.3,1737,13,betting,all,2071
0.05,249,58,68,2,66,0.029411764705882353,0.11934900542495479,0.006024096385542169,0.3,2112,14,betting,all,1887
0.1,249,81,112,7,105,0.0625,0.189873417721519,0.017402945113788485,0.3,2112,14,betting,all,1887
0.15,249,91,148,13,135,0.08783783783783784,0.244122965641953,0.02504891360313047,0.3,2112,14,betting,all,1887
0.2,249,102,173,21,152,0.12138728323699421,0.27486437613019893,0.02734748517881048,0.3,2112,14,betting,all,1887
0.05,249,49,68,3,65,0.04411764705882353,0.12149532710280374,0.008835341365461848,0.3,2021,15,betting,all,1790
0.1,249,85,116,10,106,0.08620689655172414,0.19813084112149532,0.024230254350736277,0.3,2021,15,betting,all,1790
0.15,249,100,151,16,135,0.10596026490066225,0.2523364485981308,0.03360107095046854,0.3,2021,15,betting,all,1790
0.2,249,117,192,25,167,0.13020833333333334,0.3121495327102804,0.042742398164084906,0.3,2021,15,betting,all,1790
0.05,249,59,71,4,67,0.056338028169014086,0.12761904761904763,0.007028112449799197,0.3,2053,16,betting,all,2063
0.1,249,89,117,8,109,0.06837606837606838,0.20761904761904762,0.02108433734939759,0.3,2053,16,betting,all,2063
0.15,249,116,176,22,154,0.125,0.29333333333333333,0.04543522073642556,0.3,2053,16,betting,all,2063
0.2,249,143,292,72,220,0.2465753424657534,0.41904761904761906,0.06960941835090383,0.3,2053,16,betting,all,2063
0.05,249,67,91,2,89,0.02197802197802198,0.16152450090744103,0.0048192771084337345,0.3,2073,17,betting,all,1902
0.1,249,94,137,11,126,0.08029197080291971,0.22867513611615245,0.023337795626952255,0.3,2073,17,betting,all,1902
0.15,249,108,164,18,146,0.10975609756097561,0.26497277676951,0.036390004462293624,0.3,2073,17,betting,all,1902
0.2,249,132,234,44,190,0.18803418803418803,0.3448275862068966,0.06983170778351502,0.3,2073,17,betting,all,1902
0.05,249,61,90,9,81,0.1,0.17685589519650655,0.012277682157200228,0.3,1990,18,betting,all,1821
0.1,249,79,122,12,110,0.09836065573770492,0.24017467248908297,0.013409192324854975,0.3,1990,18,betting,all,1821
0.15,249,97,154,18,136,0.11688311688311688,0.29694323144104806,0.028804105310129408,0.3,1990,18,betting,all,1821
0.2,249,103,172,23,149,0.13372093023255813,0.32532751091703055,0.03536367692994199,0.3,1990,18,betting,all,1821
0.05,249,77,110,12,98,0.10909090909090909,0.19367588932806323,0.018502581755593807,0.3,1879,19,betting,all,1646
0.1,249,90,129,17,112,0.13178294573643412,0.22134387351778656,0.028670236501561804,0.3,1879,19,betting,all,1646
0.15,249,101,153,25,128,0.16339869281045752,0.25296442687747034,0.047456492637215526,0.3,1879,19,betting,all,1646
0.2,249,136,229,45,184,0.1965065502183406,0.36363636363636365,0.08204245553643143,0.3,1879,19,betting,all,1646
