alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method
0.05,238,116,135,2,133,0.014814814814814815,0.3136792452830189,0.008403361344537815,14,betting
0.1,238,125,146,2,144,0.0136986301369863,0.33962264150943394,0.008403361344537815,14,betting
0.15,238,126,147,2,145,0.013605442176870748,0.3419811320754717,0.008403361344537815,14,betting
0.2,238,126,147,2,145,0.013605442176870748,0.3419811320754717,0.008403361344537815,14,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,14,binary
0.1,238,111,158,8,150,0.05063291139240506,0.35377358490566035,0.024509803921568627,14,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,14,binary
0.2,238,121,182,15,167,0.08241758241758242,0.3938679245283019,0.04026610644257703,14,binary
0.05,238,165,245,10,235,0.04081632653061224,0.5542452830188679,0.03711484593837534,14,pvalue_bh
0.1,238,174,285,13,272,0.0456140350877193,0.6415094339622641,0.039355742296918766,14,pvalue_bh
0.15,238,181,326,19,307,0.05828220858895705,0.7240566037735849,0.0413515406162465,14,pvalue_bh
0.2,238,186,348,25,323,0.07183908045977011,0.7617924528301887,0.051505602240896356,14,pvalue_bh
0.05,238,118,152,1,151,0.006578947368421052,0.41032608695652173,0.004201680672268907,15,betting
0.1,238,125,161,1,160,0.006211180124223602,0.43478260869565216,0.004201680672268907,15,betting
0.15,238,128,164,1,163,0.006097560975609756,0.4429347826086957,0.004201680672268907,15,betting
0.2,238,128,164,1,163,0.006097560975609756,0.4429347826086957,0.004201680672268907,15,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,15,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,15,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,15,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,15,binary
0.05,238,146,210,6,204,0.02857142857142857,0.5543478260869565,0.019432773109243698,15,pvalue_bh
0.1,238,164,267,11,256,0.04119850187265917,0.6956521739130435,0.025256769374416434,15,pvalue_bh
0.15,238,177,293,15,278,0.051194539249146756,0.7554347826086957,0.030508870214752567,15,pvalue_bh
0.2,238,182,307,19,288,0.06188925081433225,0.782608695652174,0.03628618113912232,15,pvalue_bh
0.05,238,90,120,0,120,0.0,0.32432432432432434,0.0,16,betting
0.1,238,100,130,0,130,0.0,0.35135135135135137,0.0,16,betting
0.15,238,101,131,0,131,0.0,0.35405405405405405,0.0,16,betting
0.2,238,102,132,0,132,0.0,0.3567567567567568,0.0,16,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,16,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,16,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,16,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,16,binary
0.05,238,149,218,7,211,0.03211009174311927,0.5702702702702702,0.01972455648926237,16,pvalue_bh
0.1,238,164,257,13,244,0.05058365758754864,0.6594594594594595,0.029178338001867414,16,pvalue_bh
