alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,cal_null_size,n_cal
0.2,238,128,164,1,163,0.006097560975609756,0.4429347826086957,0.004201680672268907,15,betting,all,256
0.05,238,90,120,0,120,0.0,0.32432432432432434,0.0,16,betting,all,241
0.1,238,100,130,0,130,0.0,0.35135135135135137,0.0,16,betting,all,241
0.15,238,101,131,0,131,0.0,0.35405405405405405,0.0,16,betting,all,241
0.2,238,102,132,0,132,0.0,0.3567567567567568,0.0,16,betting,all,241
0.05,238,102,136,2,134,0.014705882352941176,0.3526315789473684,0.0035014005602240893,17,betting,all,231
0.1,238,115,150,2,148,0.013333333333333334,0.3894736842105263,0.0035014005602240893,17,betting,all,231
0.15,238,120,156,2,154,0.01282051282051282,0.4052631578947368,0.0035014005602240893,17,betting,all,231
0.2,238,121,157,2,155,0.012738853503184714,0.40789473684210525,0.0035014005602240893,17,betting,all,231
0.05,238,93,108,0,108,0.0,0.3176470588235294,0.0,18,betting,all,258
0.1,238,102,118,0,118,0.0,0.34705882352941175,0.0,18,betting,all,258
0.15,238,104,120,0,120,0.0,0.35294117647058826,0.0,18,betting,all,258
0.2,238,104,120,0,120,0.0,0.35294117647058826,0.0,18,betting,all,258
0.05,238,125,155,0,155,0.0,0.3743961352657005,0.0,19,betting,all,238
0.1,238,137,178,1,177,0.0056179775280898875,0.427536231884058,0.004201680672268907,19,betting,all,238
0.15,238,150,206,3,203,0.014563106796116505,0.49033816425120774,0.009803921568627449,19,betting,all,238
0.2,238,161,232,3,229,0.01293103448275862,0.5531400966183575,0.009803921568627449,19,betting,all,238
