alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,stratum
0.2,217,94,102,0,102,0.0,0.3893129770992366,0.0,18,betting,K<=5
0.2,21,10,18,0,18,0.0,0.23076923076923078,0.0,18,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,18,betting,K>30
0.05,211,109,128,0,128,0.0,0.4555160142348754,0.0,19,betting,K<=5
0.05,27,16,27,0,27,0.0,0.20300751879699247,0.0,19,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,19,betting,K>30
0.1,211,121,149,1,148,0.006711409395973154,0.5266903914590747,0.004739336492890996,19,betting,K<=5
0.1,27,16,29,0,29,0.0,0.21804511278195488,0.0,19,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,19,betting,K>30
0.15,211,132,168,2,166,0.011904761904761904,0.5907473309608541,0.009478672985781991,19,betting,K<=5
0.15,27,18,38,1,37,0.02631578947368421,0.2781954887218045,0.012345679012345678,19,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,19,betting,K>30
0.2,211,141,185,2,183,0.010810810810810811,0.6512455516014235,0.009478672985781991,19,betting,K<=5
0.2,27,20,47,1,46,0.02127659574468085,0.3458646616541353,0.012345679012345678,19,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,19,betting,K>30
