seed,alpha,iou_thresh,n_candidates,n_clusters,compression_ratio,mean_cluster_size,max_cluster_size,nms_rej,nms_fp,nms_tp,nms_tp_members,nms_fdp_pooled,nms_family_fdp_mean,nms_recall_cluster,nms_recall_members,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall,total_tp_clusters,nms_hit_tp_clusters,base_hit_tp_clusters,nms_recall_object,base_recall_object
5,0.05,0.7,5843,5843,1.0,1.0,1,117,2,115,115,0.017094017094017096,0.0037243947858473,0.16016713091922005,0.16016713091922005,117,2,115,0.017094017094017096,0.0037243947858473,0.16016713091922005,718,115,115,0.16016713091922005,0.16016713091922005
5,0.1,0.7,5843,5843,1.0,1.0,1,147,6,141,141,0.04081632653061224,0.006879784812745707,0.19637883008356546,0.19637883008356546,147,6,141,0.04081632653061224,0.006879784812745707,0.19637883008356546,718,141,141,0.19637883008356546,0.19637883008356546
5,0.15,0.7,5843,5843,1.0,1.0,1,172,8,164,164,0.046511627906976744,0.009635460752779188,0.22841225626740946,0.22841225626740946,172,8,164,0.046511627906976744,0.009635460752779188,0.22841225626740946,718,164,164,0.22841225626740946,0.22841225626740946
5,0.2,0.7,5843,5843,1.0,1.0,1,180,9,171,171,0.05,0.011497658145702838,0.2381615598885794,0.2381615598885794,180,9,171,0.05,0.011497658145702838,0.2381615598885794,718,171,171,0.2381615598885794,0.2381615598885794
6,0.05,0.7,6038,6038,1.0,1.0,1,130,2,128,128,0.015384615384615385,0.0037243947858473,0.18181818181818182,0.18181818181818182,130,2,128,0.015384615384615385,0.0037243947858473,0.18181818181818182,704,128,128,0.18181818181818182,0.18181818181818182
6,0.1,0.7,6038,6038,1.0,1.0,1,187,5,182,182,0.026737967914438502,0.006362507759155802,0.2585227272727273,0.2585227272727273,187,5,182,0.026737967914438502,0.006362507759155802,0.2585227272727273,704,182,182,0.2585227272727273,0.2585227272727273
6,0.15,0.7,6038,6038,1.0,1.0,1,204,7,197,197,0.03431372549019608,0.010086902545003102,0.27982954545454547,0.27982954545454547,204,7,197,0.03431372549019608,0.010086902545003102,0.27982954545454547,704,197,197,0.27982954545454547,0.27982954545454547
6,0.2,0.7,6038,6038,1.0,1.0,1,216,9,207,207,0.041666666666666664,0.012259466170080694,0.2940340909090909,0.2940340909090909,216,9,207,0.041666666666666664,0.012259466170080694,0.2940340909090909,704,207,207,0.2940340909090909,0.2940340909090909
7,0.05,0.7,5691,5691,1.0,1.0,1,103,2,101,101,0.019417475728155338,0.002482929857231533,0.15905511811023623,0.15905511811023623,103,2,101,0.019417475728155338,0.002482929857231533,0.15905511811023623,635,101,101,0.15905511811023623,0.15905511811023623
7,0.1,0.7,5691,5691,1.0,1.0,1,136,3,133,133,0.022058823529411766,0.0029484792054624456,0.2094488188976378,0.2094488188976378,136,3,133,0.022058823529411766,0.0029484792054624456,0.2094488188976378,635,133,133,0.2094488188976378,0.2094488188976378
7,0.15,0.7,5691,5691,1.0,1.0,1,159,7,152,152,0.0440251572327044,0.006052141527001862,0.23937007874015748,0.23937007874015748,159,7,152,0.0440251572327044,0.006052141527001862,0.23937007874015748,635,152,152,0.23937007874015748,0.23937007874015748
7,0.2,0.7,5691,5691,1.0,1.0,1,167,10,157,157,0.059880239520958084,0.009776536312849162,0.247244094488189,0.247244094488189,167,10,157,0.059880239520958084,0.009776536312849162,0.247244094488189,635,157,157,0.247244094488189,0.247244094488189
8,0.05,0.7,6956,6956,1.0,1.0,1,109,0,109,109,0.0,0.0,0.15482954545454544,0.15482954545454544,109,0,109,0.0,0.0,0.15482954545454544,704,109,109,0.15482954545454544,0.15482954545454544
8,0.1,0.7,6956,6956,1.0,1.0,1,125,1,124,124,0.008,0.0006207324643078833,0.17613636363636365,0.17613636363636365,125,1,124,0.008,0.0006207324643078833,0.17613636363636365,704,124,124,0.17613636363636365,0.17613636363636365
8,0.15,0.7,6956,6956,1.0,1.0,1,134,2,132,132,0.014925373134328358,0.002482929857231533,0.1875,0.1875,134,2,132,0.014925373134328358,0.002482929857231533,0.1875,704,132,132,0.1875,0.1875
8,0.2,0.7,6956,6956,1.0,1.0,1,147,4,143,143,0.027210884353741496,0.0062073246430788325,0.203125,0.203125,147,4,143,0.027210884353741496,0.0062073246430788325,0.203125,704,143,143,0.203125,0.203125
9,0.05,0.7,6806,6806,1.0,1.0,1,97,3,94,94,0.030927835051546393,0.00558659217877095,0.13055555555555556,0.13055555555555556,97,3,94,0.030927835051546393,0.00558659217877095,0.13055555555555556,720,94,94,0.13055555555555556,0.13055555555555556
9,0.1,0.7,6806,6806,1.0,1.0,1,120,5,115,115,0.041666666666666664,0.006414235464514795,0.1597222222222222,0.1597222222222222,120,5,115,0.041666666666666664,0.006414235464514795,0.1597222222222222,720,115,115,0.1597222222222222,0.1597222222222222
9,0.15,0.7,6806,6806,1.0,1.0,1,139,10,129,129,0.07194244604316546,0.010138630250362095,0.17916666666666667,0.17916666666666667,139,10,129,0.07194244604316546,0.010138630250362095,0.17916666666666667,720,129,129,0.17916666666666667,0.17916666666666667
9,0.2,0.7,6806,6806,1.0,1.0,1,162,14,148,148,0.08641975308641975,0.016618700976242875,0.20555555555555555,0.20555555555555555,162,14,148,0.08641975308641975,0.016618700976242875,0.20555555555555555,720,148,148,0.20555555555555555,0.20555555555555555
