alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,stratum
0.1,74,10,20,0,20,0.0,0.0970873786407767,0.0,8,betting,5<K<=30
0.1,16,1,4,3,1,0.75,0.00847457627118644,0.046875,8,betting,K>30
0.15,159,47,52,1,51,0.019230769230769232,0.3,0.006289308176100629,8,betting,K<=5
0.15,74,14,24,1,23,0.041666666666666664,0.11165048543689321,0.013513513513513514,8,betting,5<K<=30
0.15,16,1,4,3,1,0.75,0.00847457627118644,0.046875,8,betting,K>30
0.2,159,52,59,1,58,0.01694915254237288,0.3411764705882353,0.006289308176100629,8,betting,K<=5
0.2,74,14,25,1,24,0.04,0.11650485436893204,0.013513513513513514,8,betting,5<K<=30
0.2,16,1,4,3,1,0.75,0.00847457627118644,0.046875,8,betting,K>30
0.05,144,28,34,1,33,0.029411764705882353,0.25190839694656486,0.006944444444444444,9,betting,K<=5
0.05,27,1,3,0,3,0.0,0.013333333333333334,0.0,9,betting,K>30
0.05,78,12,23,1,22,0.043478260869565216,0.1004566210045662,0.00641025641025641,9,betting,5<K<=30
0.1,144,32,38,1,37,0.02631578947368421,0.2824427480916031,0.006944444444444444,9,betting,K<=5
0.1,27,1,3,0,3,0.0,0.013333333333333334,0.0,9,betting,K>30
0.1,78,15,31,2,29,0.06451612903225806,0.1324200913242009,0.008974358974358974,9,betting,5<K<=30
0.15,144,38,45,1,44,0.022222222222222223,0.33587786259541985,0.006944444444444444,9,betting,K<=5
0.15,27,1,3,0,3,0.0,0.013333333333333334,0.0,9,betting,K>30
0.15,78,16,32,2,30,0.0625,0.136986301369863,0.008974358974358974,9,betting,5<K<=30
0.2,144,38,45,1,44,0.022222222222222223,0.33587786259541985,0.006944444444444444,9,betting,K<=5
0.2,27,1,3,0,3,0.0,0.013333333333333334,0.0,9,betting,K>30
0.2,78,17,34,2,32,0.058823529411764705,0.1461187214611872,0.008974358974358974,9,betting,5<K<=30
0.05,161,31,37,0,37,0.0,0.24503311258278146,0.0,10,betting,K<=5
0.05,18,0,0,0,0,0.0,0.0,0.0,10,betting,K>30
0.05,70,4,8,0,8,0.0,0.043010752688172046,0.0,10,betting,5<K<=30
0.1,161,40,46,0,46,0.0,0.304635761589404,0.0,10,betting,K<=5
0.1,18,0,0,0,0,0.0,0.0,0.0,10,betting,K>30
0.1,70,7,12,0,12,0.0,0.06451612903225806,0.0,10,betting,5<K<=30
0.15,161,45,51,0,51,0.0,0.33774834437086093,0.0,10,betting,K<=5
0.15,18,0,0,0,0,0.0,0.0,0.0,10,betting,K>30
0.15,70,13,21,0,21,0.0,0.11290322580645161,0.0,10,betting,5<K<=30
0.2,161,46,52,0,52,0.0,0.3443708609271523,0.0,10,betting,K<=5
0.2,18,0,0,0,0,0.0,0.0,0.0,10,betting,K>30
0.2,70,13,21,0,21,0.0,0.11290322580645161,0.0,10,betting,5<K<=30
0.05,157,40,47,0,47,0.0,0.29559748427672955,0.0,11,betting,K<=5
0.05,79,5,6,1,5,0.16666666666666666,0.02074688796680498,0.012658227848101266,11,betting,5<K<=30
0.05,13,0,0,0,0,0.0,0.0,0.0,11,betting,K>30
0.1,157,48,57,1,56,0.017543859649122806,0.3522012578616352,0.0031847133757961785,11,betting,K<=5
0.1,79,11,17,1,16,0.058823529411764705,0.06639004149377593,0.006329113924050633,11,betting,5<K<=30
0.1,13,0,0,0,0,0.0,0.0,0.0,11,betting,K>30
0.15,157,50,60,1,59,0.016666666666666666,0.3710691823899371,0.0031847133757961785,11,betting,K<=5
0.15,79,16,26,2,24,0.07692307692307693,0.0995850622406639,0.0189873417721519,11,betting,5<K<=30
0.15,13,0,0,0,0,0.0,0.0,0.0,11,betting,K>30
0.2,157,52,62,1,61,0.016129032258064516,0.3836477987421384,0.0031847133757961785,11,betting,K<=5
0.2,79,23,34,2,32,0.058823529411764705,0.13278008298755187,0.0189873417721519,11,betting,5<K<=30
0.2,13,0,0,0,0,0.0,0.0,0.0,11,betting,K>30
0.05,148,26,27,0,27,0.0,0.1956521739130435,0.0,12,betting,K<=5
0.05,83,7,11,0,11,0.0,0.04417670682730924,0.0,12,betting,5<K<=30
0.05,18,1,3,0,3,0.0,0.018867924528301886,0.0,12,betting,K>30
0.1,148,31,34,0,34,0.0,0.2463768115942029,0.0,12,betting,K<=5
0.1,83,9,17,0,17,0.0,0.06827309236947791,0.0,12,betting,5<K<=30
0.1,18,1,3,0,3,0.0,0.018867924528301886,0.0,12,betting,K>30
0.15,148,34,37,0,37,0.0,0.26811594202898553,0.0,12,betting,K<=5
0.15,83,10,20,0,20,0.0,0.08032128514056225,0.0,12,betting,5<K<=30
0.15,18,1,8,0,8,0.0,0.050314465408805034,0.0,12,betting,K>30
0.2,148,37,40,0,40,0.0,0.2898550724637681,0.0,12,betting,K<=5
0.2,83,11,22,2,20,0.09090909090909091,0.08032128514056225,0.012048192771084338,12,betting,5<K<=30
0.2,18,1,8,0,8,0.0,0.050314465408805034,0.0,12,betting,K>30
0.05,159,29,34,1,33,0.029411764705882353,0.21568627450980393,0.006289308176100629,13,betting,K<=5
0.05,76,1,2,0,2,0.0,0.008064516129032258,0.0,13,betting,5<K<=30
0.05,14,0,0,0,0,0.0,0.0,0.0,13,betting,K>30
0.1,159,42,48,1,47,0.020833333333333332,0.30718954248366015,0.006289308176100629,13,betting,K<=5
0.1,76,9,17,0,17,0.0,0.06854838709677419,0.0,13,betting,5<K<=30
0.1,14,0,0,0,0,0.0,0.0,0.0,13,betting,K>30
0.15,159,47,53,1,52,0.018867924528301886,0.33986928104575165,0.006289308176100629,13,betting,K<=5
0.15,76,14,26,1,25,0.038461538461538464,0.10080645161290322,0.013157894736842105,13,betting,5<K<=30
0.15,14,1,3,0,3,0.0,0.022556390977443608,0.0,13,betting,K>30
0.2,159,57,64,1,63,0.015625,0.4117647058823529,0.006289308176100629,13,betting,K<=5
0.2,76,19,36,1,35,0.027777777777777776,0.14112903225806453,0.013157894736842105,13,betting,5<K<=30
0.2,14,1,3,0,3,0.0,0.022556390977443608,0.0,13,betting,K>30
0.05,161,28,33,0,33,0.0,0.18333333333333332,0.0,14,betting,K<=5
0.05,20,0,0,0,0,0.0,0.0,0.0,14,betting,K>30
0.05,68,4,4,1,3,0.25,0.014150943396226415,0.014705882352941176,14,betting,5<K<=30
0.1,161,42,47,0,47,0.0,0.2611111111111111,0.0,14,betting,K<=5
0.1,20,0,0,0,0,0.0,0.0,0.0,14,betting,K>30
0.1,68,5,9,1,8,0.1111111111111111,0.03773584905660377,0.007352941176470588,14,betting,5<K<=30
0.15,161,49,55,0,55,0.0,0.3055555555555556,0.0,14,betting,K<=5
0.15,20,0,0,0,0,0.0,0.0,0.0,14,betting,K>30
0.15,68,7,13,3,10,0.23076923076923078,0.04716981132075472,0.022058823529411766,14,betting,5<K<=30
0.2,161,54,62,0,62,0.0,0.34444444444444444,0.0,14,betting,K<=5
0.2,20,1,1,0,1,0.0,0.006211180124223602,0.0,14,betting,K>30
0.2,68,12,18,3,15,0.16666666666666666,0.07075471698113207,0.022058823529411766,14,betting,5<K<=30
0.05,149,30,39,0,39,0.0,0.2549019607843137,0.0,15,betting,K<=5
0.05,79,4,11,0,11,0.0,0.044897959183673466,0.0,15,betting,5<K<=30
0.05,21,0,0,0,0,0.0,0.0,0.0,15,betting,K>30
0.1,149,38,47,1,46,0.02127659574468085,0.3006535947712418,0.006711409395973154,15,betting,K<=5
0.1,79,4,12,1,11,0.08333333333333333,0.044897959183673466,0.002531645569620253,15,betting,5<K<=30
0.1,21,0,0,0,0,0.0,0.0,0.0,15,betting,K>30
0.15,149,43,53,1,52,0.018867924528301886,0.33986928104575165,0.006711409395973154,15,betting,K<=5
0.15,79,7,17,3,14,0.17647058823529413,0.05714285714285714,0.015189873417721518,15,betting,5<K<=30
0.15,21,0,0,0,0,0.0,0.0,0.0,15,betting,K>30
0.2,149,53,64,2,62,0.03125,0.40522875816993464,0.013422818791946308,15,betting,K<=5
0.2,79,11,22,3,19,0.13636363636363635,0.07755102040816327,0.015189873417721518,15,betting,5<K<=30
0.2,21,0,0,0,0,0.0,0.0,0.0,15,betting,K>30
