table,dataset,detector,alpha,method,fdp_pooled_mean,fdp_pooled_std,fdp_family_mean,recall_mean,rejections_mean,phi_max_median,loo_mean,n_seeds,source,pooled_bound_eps,pooled_bound_delta,pooled_bound_covered
lvis_aux_eta,LVIS val (NEG+POS_EXH only),GDino,0.10,betting_eBH_lvisaux,0.021593,0.022722,0.004300,0.113765,66.6,536.6,1.000000,20,outputs/lvis_aux_clean_20seed_formal_hist,,,
lvis_aux_eta,LVIS val (NEG+POS_EXH only),GDino,0.15,betting_eBH_lvisaux,0.029873,0.024337,,0.127487,75.35,536.6,1.000000,20,outputs/lvis_aux_clean_20seed_formal_hist,,,
lvis_aux_eta,LVIS val (NEG+POS_EXH only),GDino,0.20,betting_eBH_lvisaux,0.032047,0.026485,,0.141740,84.0,536.6,1.000000,20,outputs/lvis_aux_clean_20seed_formal_hist,,,
oi_aux_eta,OpenImages V7 (present-only),GDino,0.05,betting_eBH_oipresent,0.011143,0.018883,0.001900,0.088512,38.8,1598.4,1.0000,20,outputs/oi_present_only_20seed_formal_hist,,,
oi_aux_eta,OpenImages V7 (present-only),GDino,0.10,betting_eBH_oipresent,0.023324,0.014697,0.006300,0.138998,61.65,1598.4,1.0000,20,outputs/oi_present_only_20seed_formal_hist,,,
oi_aux_eta,OpenImages V7 (present-only),GDino,0.15,betting_eBH_oipresent,0.043642,0.033578,0.012600,0.170495,77.45,1598.4,1.0000,20,outputs/oi_present_only_20seed_formal_hist,,,
oi_aux_eta,OpenImages V7 (present-only),GDino,0.20,betting_eBH_oipresent,0.062519,0.046096,0.019500,0.192539,89.4,1598.4,1.0000,20,outputs/oi_present_only_20seed_formal_hist,,,
lvis_aux_eta,LVIS val (NEG+POS_EXH only),OWLv2,0.05,betting_eBH_lvisaux,0.018699,0.014016,0.005124,0.148012,73.950000,1000000.000000,1.000000,20,outputs/lvis_aux_clean_owlv2_20seed_formal_hist,,,
lvis_aux_eta,LVIS val (NEG+POS_EXH only),OWLv2,0.10,betting_eBH_lvisaux,0.029557,0.014429,0.011778,0.208755,105.550000,1000000.000000,1.000000,20,outputs/lvis_aux_clean_owlv2_20seed_formal_hist,,,
lvis_aux_eta,LVIS val (NEG+POS_EXH only),OWLv2,0.15,betting_eBH_lvisaux,0.036584,0.016504,0.016535,0.237362,120.850000,1000000.000000,1.000000,20,outputs/lvis_aux_clean_owlv2_20seed_formal_hist,,,
lvis_aux_eta,LVIS val (NEG+POS_EXH only),OWLv2,0.20,betting_eBH_lvisaux,0.040366,0.017040,0.018868,0.269543,138.250000,1000000.000000,1.000000,20,outputs/lvis_aux_clean_owlv2_20seed_formal_hist,,,
lvis_aux_eta,LVIS val (NEG+POS_EXH only),YOLO-World,0.05,betting_eBH_lvisaux,0.014149,0.024617,0.002390,0.061635,15.000000,1000000.000000,1.000000,20,outputs/lvis_aux_clean_yoloworld_20seed_formal_hist,,,
lvis_aux_eta,LVIS val (NEG+POS_EXH only),YOLO-World,0.10,betting_eBH_lvisaux,0.036842,0.030119,0.007521,0.126466,31.200000,1000000.000000,1.000000,20,outputs/lvis_aux_clean_yoloworld_20seed_formal_hist,,,
lvis_aux_eta,LVIS val (NEG+POS_EXH only),YOLO-World,0.15,betting_eBH_lvisaux,0.044551,0.030273,0.011320,0.161648,40.200000,1000000.000000,1.000000,20,outputs/lvis_aux_clean_yoloworld_20seed_formal_hist,,,
lvis_aux_eta,LVIS val (NEG+POS_EXH only),YOLO-World,0.20,betting_eBH_lvisaux,0.048069,0.033072,0.012528,0.183660,45.900000,1000000.000000,1.000000,20,outputs/lvis_aux_clean_yoloworld_20seed_formal_hist,,,
