dataset,detector,alpha,bin,n_candidates,n_rejections,pooled_fdp,recall,loo_mean,per_family_fdp,pass_rate
COCO val,GDino,0.1,baseball glove,49.25,0.4,0.0,0.11595238095238095,0.4529263018707181,0.0,1.0
COCO val,GDino,0.1,bear,27.15,1.45,0.05,0.33049603174603176,0.7110446898983215,0.05,0.95
COCO val,GDino,0.1,bed,45.65,0.65,0.0,0.08296101774042951,0.611608299231637,0.0,1.0
COCO val,GDino,0.1,bench,176.65,0.8,0.0,0.17910858585858586,0.5894063187250236,0.0,1.0
COCO val,GDino,0.1,bicycle,53.6,0.0,0.0,0.0,0.5791225842370984,0.0,1.0
COCO val,GDino,0.1,bird,63.45,3.25,0.0,0.35906485671191557,0.4085693978839792,0.0,1.0
COCO val,GDino,0.1,boat,153.1,0.0,0.0,0.0,0.6129442297846742,0.0,1.0
COCO val,GDino,0.1,book,182.9,0.1,0.0,0.004554079696394687,0.5496140990926901,0.0,1.0
COCO val,GDino,0.1,bottle,111.75,1.45,0.0,0.30339285714285713,0.5493864795377804,0.0,1.0
COCO val,GDino,0.1,bowl,46.35,1.05,0.19166666666666665,0.1934722222222222,7.86643004841666,0.19166666666666665,0.7
COCO val,GDino,0.1,broccoli,151.33333333333334,0.1111111111111111,0.0,0.020655270655270657,0.6582660943338329,0.0,1.0
COCO val,GDino,0.1,bus,47.8,1.5,0.0,0.45135928613869786,0.6665571501104809,0.0,1.0
COCO val,GDino,0.1,cake,50.31578947368421,0.5263157894736842,0.0,0.26666666666666666,0.6341333382729628,0.0,1.0
COCO val,GDino,0.1,car,204.75,0.5,0.0,0.02665837955735654,0.5827665144513677,0.0,1.0
COCO val,GDino,0.1,carrot,62.75,0.0,0.0,0.0,0.6004250247392788,0.0,1.0
COCO val,GDino,0.1,cat,22.65,4.65,0.062142857142857146,0.7308838383838384,3.399719924220167,0.06464285714285714,0.7
COCO val,GDino,0.1,cell phone,45.35,1.1,0.26666666666666666,0.31666666666666665,2.9796325470841083,0.26666666666666666,0.55
COCO val,GDino,0.1,chair,372.55,0.65,0.0,0.021069306376943674,0.8278159868916015,0.0,1.0
