seed,n_tp,n_tp_reachable_T1,n_tp_reachable_tight,n_tp_rejected,n_rejected_total,ceiling_T1,ceiling_tight,actual_recall,efficiency_T1,efficiency_tight,C_m,m,phi_max,n_tp_score>=0.0,ceiling_score>=0.0,n_tp_score>=0.1,ceiling_score>=0.1,n_tp_score>=0.2,ceiling_score>=0.2,n_tp_score>=0.3,ceiling_score>=0.3,n_tp_score>=0.4,ceiling_score>=0.4,n_tp_score>=0.5,ceiling_score>=0.5,config
10,521,142,142,142,154,0.272552783109405,0.272552783109405,0.272552783109405,1.0,1.0,7056.149134367617,5330,1121.2450450450451,521,0.272552783109405,429,0.331002331002331,370,0.3837837837837838,329,0.4316109422492401,306,0.46405228758169936,277,0.5126353790613718,VOC-1k/GDino
11,571,159,166,166,173,0.27845884413309985,0.29071803852889666,0.29071803852889666,1.0440251572327042,1.0,4361.726499824304,5090,525.6651785714286,571,0.27845884413309985,471,0.3375796178343949,416,0.38221153846153844,390,0.4076923076923077,363,0.4380165289256198,327,0.48623853211009177,VOC-1k/GDino
12,535,73,73,73,74,0.13644859813084112,0.13644859813084112,0.13644859813084112,1.0,1.0,3004335.7474088054,4925,1000000.0,535,0.13644859813084112,422,0.17298578199052134,365,0.2,338,0.21597633136094674,317,0.2302839116719243,284,0.25704225352112675,VOC-1k/GDino
13,558,137,141,141,152,0.24551971326164876,0.25268817204301075,0.25268817204301075,1.0291970802919708,1.0,5701.1704818166745,5942,1152.8312629399586,558,0.24551971326164876,453,0.30242825607064017,388,0.35309278350515466,358,0.38268156424581007,331,0.41389728096676737,295,0.46440677966101696,VOC-1k/GDino
14,542,176,191,191,203,0.3247232472324723,0.35239852398523985,0.35239852398523985,1.0852272727272727,1.0,4782.223171924971,5346,1072.0561403508773,542,0.3247232472324723,426,0.4131455399061033,374,0.47058823529411764,355,0.49577464788732395,335,0.5253731343283582,307,0.5732899022801303,VOC-1k/GDino
15,577,161,167,167,173,0.27902946273830154,0.28942807625649913,0.28942807625649913,1.0372670807453417,1.0,5744.674998061591,6101,968.5093542546772,577,0.27902946273830154,471,0.34182590233545646,399,0.40350877192982454,360,0.44722222222222224,330,0.48787878787878786,305,0.5278688524590164,VOC-1k/GDino
16,648,149,151,151,161,0.22993827160493827,0.2330246913580247,0.2330246913580247,1.0134228187919463,1.0,4512.542383568385,4919,1196.5384615384614,648,0.22993827160493827,512,0.291015625,438,0.3401826484018265,396,0.37626262626262624,363,0.41046831955922863,314,0.4745222929936306,VOC-1k/GDino
17,508,127,134,134,141,0.25,0.2637795275590551,0.2637795275590551,1.0551181102362204,1.0,4775.669961079913,5598,986.195652173913,508,0.25,404,0.31435643564356436,358,0.3547486033519553,334,0.38023952095808383,311,0.40836012861736337,271,0.46863468634686345,VOC-1k/GDino
18,591,142,152,152,168,0.24027072758037224,0.2571912013536379,0.2571912013536379,1.0704225352112675,1.0,4513.7376738486355,5443,1000000.0,591,0.24027072758037224,483,0.2939958592132505,426,0.3333333333333333,391,0.3631713554987212,355,0.4,313,0.4536741214057508,VOC-1k/GDino
19,529,153,158,158,171,0.2892249527410208,0.29867674858223064,0.29867674858223064,1.0326797385620916,1.0,7015.035979253897,5655,2046.282051282051,529,0.2892249527410208,434,0.35253456221198154,382,0.4005235602094241,341,0.44868035190615835,321,0.4766355140186916,289,0.5294117647058824,VOC-1k/GDino
0,573,60,60,60,61,0.10471204188481675,0.10471204188481675,0.10471204188481675,1.0,1.0,6001542.920145582,1867,1000000.0,573,0.10471204188481675,483,0.12422360248447205,386,0.15544041450777202,298,0.20134228187919462,242,0.24793388429752067,201,0.29850746268656714,COCO-1k/OWL
