dataset,detector,alpha,bin,n_families_mean,mean_K,total_rejections_mean,fdp_pooled_mean,fdp_pooled_std,per_family_fdp_mean,recall_mean,pass_rate,family_share
COCO val,OWL-ViT,0.05,K=1,60.9,1.0,11.8,0.0,0.0,0.0,0.351214983574059,1.0,0.24457831325301205
COCO val,OWL-ViT,0.05,K>20,31.45,45.79701087947289,2.05,0.0375,0.16770509831248423,0.0375,0.00874182354488327,0.95,0.12630522088353413
COCO val,OWL-ViT,0.1,11-20,29.85,14.010201487194674,5.0,0.0313510101010101,0.059195227908297454,0.029166666666666667,0.04918017705651642,0.85,0.11987951807228917
COCO val,OWL-ViT,0.1,2-5,88.05,3.099397229564931,27.3,0.020046888121948693,0.019497242256413996,0.022845103449686027,0.2352659660712119,1.0,0.3536144578313253
COCO val,OWL-ViT,0.1,6-10,38.75,7.6210547902524866,11.7,0.02443452380952381,0.049786764470069134,0.019861111111111114,0.14546278451458022,0.9,0.15562248995983935
COCO val,OWL-ViT,0.1,K=1,60.9,1.0,13.95,0.0,0.0,0.0,0.4178459153761368,1.0,0.24457831325301205
COCO val,OWL-ViT,0.1,K>20,31.45,45.79701087947289,2.95,0.06363636363636363,0.18040720456964865,0.075,0.012169636124425093,0.85,0.12630522088353413
COCO val,OWL-ViT,0.15,11-20,29.85,14.010201487194674,7.3,0.03175430778371955,0.05577800709420276,0.03166666666666666,0.07134093042530415,0.95,0.11987951807228917
COCO val,OWL-ViT,0.15,2-5,88.05,3.099397229564931,31.5,0.02467960612085918,0.02589224229051472,0.02786356167683255,0.270182803313818,1.0,0.3536144578313253
COCO val,OWL-ViT,0.15,6-10,38.75,7.6210547902524866,14.65,0.06373963755542703,0.102324222199407,0.05943588575167522,0.17692156284311064,0.85,0.15562248995983935
COCO val,OWL-ViT,0.15,K=1,60.9,1.0,15.15,0.0,0.0,0.0,0.4539571992720507,1.0,0.24457831325301205
COCO val,OWL-ViT,0.15,K>20,31.45,45.79701087947289,5.2,0.10256493506493507,0.2259671979664683,0.09151785714285714,0.0209870013451032,0.8,0.12630522088353413
COCO val,OWL-ViT,0.2,11-20,29.85,14.010201487194674,9.4,0.039446060475472236,0.05560048916822863,0.043488095238095235,0.0911334948657531,1.0,0.11987951807228917
COCO val,OWL-ViT,0.2,2-5,88.05,3.099397229564931,35.6,0.031496609094254516,0.02547170959183722,0.03367205995495469,0.3025462545838242,1.0,0.3536144578313253
COCO val,OWL-ViT,0.2,6-10,38.75,7.6210547902524866,16.6,0.06062881562881563,0.07972090800391812,0.05544210175789123,0.20032868208662538,0.95,0.15562248995983935
COCO val,OWL-ViT,0.2,K=1,60.9,1.0,17.3,0.0017857142857142857,0.007985957062499249,0.0017857142857142857,0.5165232046451784,1.0,0.24457831325301205
COCO val,OWL-ViT,0.2,K>20,31.45,45.79701087947289,6.05,0.08700549450549451,0.18747520529169948,0.065625,0.02559377377323018,0.8,0.12630522088353413
COCO val,YOLO-World,0.05,11-20,6.65,13.372406204906204,0.85,0.0,0.0,0.0,0.017267932856736966,1.0,0.03166666666666667
COCO val,YOLO-World,0.05,2-5,92.05,2.9098677838284748,25.05,0.057492923019949835,0.0469864597888533,0.05283019070380537,0.14957748894951345,0.55,0.4383333333333333
COCO val,YOLO-World,0.05,6-10,14.8,7.603166489942805,2.85,0.0,0.0,0.0,0.04558404568433783,1.0,0.07047619047619048
COCO val,YOLO-World,0.05,K=1,91.55,1.0,24.55,0.004554554554554555,0.014287837168933467,0.004554554554554555,0.3485773101921084,0.95,0.4359523809523809
COCO val,YOLO-World,0.05,K>20,4.95,51.01079365079365,0.0,0.0,0.0,0.0,0.0,1.0,0.023571428571428573
COCO val,YOLO-World,0.1,11-20,6.65,13.372406204906204,2.85,0.030555555555555558,0.11324701448514468,0.028125,0.058683488973964804,0.9,0.03166666666666667
COCO val,YOLO-World,0.1,2-5,92.05,2.9098677838284748,28.9,0.05760118158696996,0.04743060186682229,0.053287545787545784,0.17107407004109784,0.8,0.4383333333333333
COCO val,YOLO-World,0.1,6-10,14.8,7.603166489942805,4.4,0.0,0.0,0.0,0.06766207535580673,1.0,0.07047619047619048
