alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.05,238,175,273,9,264,0.03296703296703297,0.717391304347826,0.02272408963585434,0.7601050138473511,0.04551820728291316,0.04951185495118549,275,15,260,15,scoregate_family_crc
0.1,238,193,342,33,309,0.09649122807017543,0.8396739130434783,0.0605859010270775,0.4136890172958374,0.09327731092436975,0.09707112970711297,383,50,333,15,scoregate_family_crc
0.15,238,206,391,66,325,0.16879795396419436,0.8831521739130435,0.1158890749282169,0.246704488992691,0.14450151855614038,0.1480810101102988,438,80,358,15,scoregate_family_crc
0.2,238,214,446,106,340,0.23766816143497757,0.9239130434782609,0.17366385150551447,0.1487204879522323,0.19345738295318127,0.1968320382546324,481,110,371,15,scoregate_family_crc
0.05,238,178,296,21,275,0.07094594594594594,0.7432432432432432,0.039402427637721754,0.6001741886138916,0.04593837535014006,0.0499302649930265,321,17,304,16,scoregate_family_crc
0.1,238,186,327,34,293,0.10397553516819572,0.7918918918918919,0.05792483660130719,0.4508825838565826,0.09590017825311944,0.09968302269557501,364,39,325,16,scoregate_family_crc
0.15,238,201,390,71,319,0.18205128205128204,0.8621621621621621,0.11317732221093564,0.2664538323879242,0.1435374149659864,0.14712094042637977,424,74,350,16,scoregate_family_crc
0.2,238,219,474,136,338,0.2869198312236287,0.9135135135135135,0.21484927304255036,0.1223562881350517,0.19572328931572627,0.1990884638374178,501,132,369,16,scoregate_family_crc
0.05,238,195,337,33,304,0.09792284866468842,0.8,0.0684173669467787,0.555823802947998,0.04589502467653727,0.04988709570299527,354,29,325,17,scoregate_family_crc
0.1,238,208,394,68,326,0.17258883248730963,0.8578947368421053,0.1269657863145258,0.3429816663265228,0.09569433036372445,0.09947803609442016,418,62,356,17,scoregate_family_crc
0.15,238,224,481,129,352,0.2681912681912682,0.9263157894736842,0.21643747242486736,0.1615039408206939,0.14616952043975484,0.1497420329065341,490,107,383,17,scoregate_family_crc
0.2,238,226,513,157,356,0.3060428849902534,0.9368421052631579,0.2437441643323996,0.1227602586150169,0.19608782109334966,0.1994514703774779,517,131,386,17,scoregate_family_crc
0.05,238,182,275,22,253,0.08,0.7441176470588236,0.03795518207282913,0.591472327709198,0.04453781512605042,0.048535564853556486,299,22,277,18,scoregate_family_crc
0.1,238,198,319,39,280,0.12225705329153605,0.8235294117647058,0.07189875950380152,0.4319026172161102,0.09316059757236228,0.09695490469549048,345,51,294,18,scoregate_family_crc
0.15,238,210,374,74,300,0.19786096256684493,0.8823529411764706,0.12739429104975322,0.2666529417037964,0.14267540349473123,0.14626253569768216,394,82,312,18,scoregate_family_crc
0.2,238,215,416,108,308,0.25961538461538464,0.9058823529411765,0.17729425103374685,0.1569523960351944,0.1955999066293184,0.19896559739655972,448,122,326,18,scoregate_family_crc
0.05,238,189,342,15,327,0.043859649122807015,0.7898550724637681,0.026260504201680673,0.6095938086509705,0.04586834733893557,0.049860529986053,293,19,274,19,scoregate_family_crc
0.1,238,204,402,46,356,0.11442786069651742,0.8599033816425121,0.07566131715844232,0.3476569056510925,0.0951013738828865,0.09888756060304178,358,47,311,19,scoregate_family_crc
0.15,238,217,458,81,377,0.17685589519650655,0.9106280193236715,0.1220893988806417,0.2031762152910232,0.1447278911564626,0.14830643554492928,412,84,328,19,scoregate_family_crc
0.2,238,222,497,112,385,0.22535211267605634,0.9299516908212561,0.16267794199019323,0.1313446015119552,0.19250700280112043,0.19588563458856345,459,119,340,19,scoregate_family_crc
