seed,template,alpha,cal_null_count,tmpl_phi_max,tmpl_C_m,global_phi_max,global_C_m,global_m,fit_phi_max,mean_K,median_K,T1_global,T1_tmpl,phi_max_below_T1_global,phi_max_below_T1_tmpl
3,a {cat} in the scene,0.2,2802,12.633155183205739,2444.301408785922,12.633155183205739,8547.837879455636,8992,12.633155183205739,46.39622641509434,37.0,226.33635858650675,220.54750940103702,True,True
3,a {cat} object,0.05,964,12.633155183205739,817.8622782077417,12.633155183205739,8547.837879455636,8992,12.633155183205739,16.5,13.5,325.61312480899915,425.03079024969253,True,True
3,a {cat} object,0.1,964,12.633155183205739,817.8622782077417,12.633155183205739,8547.837879455636,8992,12.633155183205739,16.5,13.5,159.76362144428862,168.68409488034672,True,True
3,a {cat} object,0.15,964,12.633155183205739,817.8622782077417,12.633155183205739,8547.837879455636,8992,12.633155183205739,16.5,13.5,105.84961913093774,105.2220474887153,True,True
3,a {cat} object,0.2,964,12.633155183205739,817.8622782077417,12.633155183205739,8547.837879455636,8992,12.633155183205739,16.5,13.5,79.14220583077156,76.45738011573789,True,True
3,other,0.05,1232,12.633155183205739,1703.7527785019497,12.633155183205739,8547.837879455636,8992,12.633155183205739,14.885964912280702,11.0,292.67097662245124,542.3399420603268,True,True
3,other,0.1,1232,12.633155183205739,1703.7527785019497,12.633155183205739,8547.837879455636,8992,12.633155183205739,14.885964912280702,11.0,143.8724507993816,233.9365383777112,True,True
3,other,0.15,1232,12.633155183205739,1703.7527785019497,12.633155183205739,8547.837879455636,8992,12.633155183205739,14.885964912280702,11.0,95.3798403995456,149.1320846697482,True,True
3,other,0.2,1232,12.633155183205739,1703.7527785019497,12.633155183205739,8547.837879455636,8992,12.633155183205739,14.885964912280702,11.0,71.33588246009565,109.45389678436854,True,True
3,the {cat},0.05,336,3.7216027671763663,332.36406659803544,12.633155183205739,8547.837879455636,8992,12.633155183205739,7.8,5.0,150.8954067211813,286.45742756515756,True,True
3,the {cat},0.1,336,3.7216027671763663,332.36406659803544,12.633155183205739,8547.837879455636,8992,12.633155183205739,7.8,5.0,74.78758884997639,100.0941976627288,True,True
3,the {cat},0.15,336,3.7216027671763663,332.36406659803544,12.633155183205739,8547.837879455636,8992,12.633155183205739,7.8,5.0,49.71340674775674,60.641864782799445,True,True
3,the {cat},0.2,336,3.7216027671763663,332.36406659803544,12.633155183205739,8547.837879455636,8992,12.633155183205739,7.8,5.0,37.23092219106207,43.49731072927309,True,True
4,a photo of a {cat},0.05,343,13.410026079397277,369.02762360378057,13.410026079397277,7931.491488964775,8190,13.410026079397277,22.192307692307693,21.5,454.40713603334973,inf,True,True
4,a photo of a {cat},0.1,343,13.410026079397277,369.02762360378057,13.410026079397277,7931.491488964775,8190,13.410026079397277,22.192307692307693,21.5,220.87639670325083,670.8536194687506,True,True
4,a photo of a {cat},0.15,343,13.410026079397277,369.02762360378057,13.410026079397277,7931.491488964775,8190,13.410026079397277,22.192307692307693,21.5,145.89662008399273,278.4840947153824,True,True
4,a photo of a {cat},0.2,343,13.410026079397277,369.02762360378057,13.410026079397277,7931.491488964775,8190,13.410026079397277,22.192307692307693,21.5,108.92157284886962,175.71293845468014,True,True
4,a small {cat} near the center,0.05,2379,13.410026079397277,2006.6202225629947,13.410026079397277,7931.491488964775,8190,13.410026079397277,49.56,46.0,1091.9323264343295,1432.144271748589,True,True
4,a small {cat} near the center,0.1,2379,13.410026079397277,2006.6202225629947,13.410026079397277,7931.491488964775,8190,13.410026079397277,49.56,46.0,510.80479012539223,527.7441001391531,True,True
4,a small {cat} near the center,0.15,2379,13.410026079397277,2006.6202225629947,13.410026079397277,7931.491488964775,8190,13.410026079397277,49.56,46.0,333.37974047196934,323.47156593228607,True,True
4,a small {cat} near the center,0.2,2379,13.410026079397277,2006.6202225629947,13.410026079397277,7931.491488964775,8190,13.410026079397277,49.56,46.0,247.43473549268197,233.2053705802036,True,True
4,a visible {cat} in the scene,0.05,355,13.410026079397277,389.6644116247472,13.410026079397277,7931.491488964775,8190,13.410026079397277,20.653846153846153,7.5,421.2327722027913,inf,True,True
4,a visible {cat} in the scene,0.1,355,13.410026079397277,389.6644116247472,13.410026079397277,7931.491488964775,8190,13.410026079397277,20.653846153846153,7.5,205.16825611158615,538.470893058387,True,True
