alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum_fine
0.1,27,3,4,0,4,0.0,0.05194805194805195,0.0,0.4,352,6,betting,11<=K<=20
0.1,115,18,18,0,18,0.0,0.18181818181818182,0.0,0.4,125,6,betting,K<=2
0.1,8,1,1,1,0,1.0,0.0,0.125,0.4,197,6,betting,21<=K<=50
0.1,3,1,1,0,1,0.0,0.05,0.0,0.4,272,6,betting,K>50
0.15,36,14,19,5,14,0.2631578947368421,0.18421052631578946,0.09027777777777778,0.4,246,6,betting,6<=K<=10
0.15,62,17,21,1,20,0.047619047619047616,0.17699115044247787,0.008064516129032258,0.4,215,6,betting,3<=K<=5
0.15,27,11,15,2,13,0.13333333333333333,0.16883116883116883,0.037037037037037035,0.4,352,6,betting,11<=K<=20
0.15,115,30,32,0,32,0.0,0.32323232323232326,0.0,0.4,125,6,betting,K<=2
0.15,8,4,9,2,7,0.2222222222222222,0.1891891891891892,0.08333333333333333,0.4,197,6,betting,21<=K<=50
0.15,3,1,2,1,1,0.5,0.05,0.16666666666666666,0.4,272,6,betting,K>50
0.2,36,14,19,5,14,0.2631578947368421,0.18421052631578946,0.09027777777777778,0.4,246,6,betting,6<=K<=10
0.2,62,17,21,1,20,0.047619047619047616,0.17699115044247787,0.008064516129032258,0.4,215,6,betting,3<=K<=5
0.2,27,12,17,2,15,0.11764705882352941,0.19480519480519481,0.037037037037037035,0.4,352,6,betting,11<=K<=20
0.2,115,30,32,0,32,0.0,0.32323232323232326,0.0,0.4,125,6,betting,K<=2
0.2,8,5,13,2,11,0.15384615384615385,0.2972972972972973,0.08333333333333333,0.4,197,6,betting,21<=K<=50
0.2,3,1,2,1,1,0.5,0.05,0.16666666666666666,0.4,272,6,betting,K>50
0.05,10,1,1,1,0,1.0,0.0,0.1,0.4,276,7,betting,21<=K<=50
0.05,30,7,8,0,8,0.0,0.1095890410958904,0.0,0.4,202,7,betting,6<=K<=10
0.05,133,22,23,0,23,0.0,0.21296296296296297,0.0,0.4,137,7,betting,K<=2
0.05,61,11,11,1,10,0.09090909090909091,0.10309278350515463,0.01639344262295082,0.4,218,7,betting,3<=K<=5
0.05,15,1,1,0,1,0.0,0.022222222222222223,0.0,0.4,188,7,betting,11<=K<=20
0.05,2,1,1,0,1,0.0,0.07142857142857142,0.0,0.4,220,7,betting,K>50
0.1,10,1,1,1,0,1.0,0.0,0.1,0.4,276,7,betting,21<=K<=50
0.1,30,9,10,0,10,0.0,0.136986301369863,0.0,0.4,202,7,betting,6<=K<=10
0.1,133,28,29,0,29,0.0,0.26851851851851855,0.0,0.4,137,7,betting,K<=2
0.1,61,16,17,1,16,0.058823529411764705,0.16494845360824742,0.01639344262295082,0.4,218,7,betting,3<=K<=5
0.1,15,1,1,0,1,0.0,0.022222222222222223,0.0,0.4,188,7,betting,11<=K<=20
0.1,2,1,1,0,1,0.0,0.07142857142857142,0.0,0.4,220,7,betting,K>50
0.15,10,1,1,1,0,1.0,0.0,0.1,0.4,276,7,betting,21<=K<=50
0.15,30,9,10,0,10,0.0,0.136986301369863,0.0,0.4,202,7,betting,6<=K<=10
0.15,133,28,29,0,29,0.0,0.26851851851851855,0.0,0.4,137,7,betting,K<=2
0.15,61,16,17,1,16,0.058823529411764705,0.16494845360824742,0.01639344262295082,0.4,218,7,betting,3<=K<=5
0.15,15,2,2,0,2,0.0,0.044444444444444446,0.0,0.4,188,7,betting,11<=K<=20
0.15,2,1,1,0,1,0.0,0.07142857142857142,0.0,0.4,220,7,betting,K>50
0.2,10,2,10,6,4,0.6,0.09090909090909091,0.12380952380952381,0.4,276,7,betting,21<=K<=50
0.2,30,12,13,0,13,0.0,0.1780821917808219,0.0,0.4,202,7,betting,6<=K<=10
0.2,133,34,35,0,35,0.0,0.32407407407407407,0.0,0.4,137,7,betting,K<=2
0.2,61,19,20,1,19,0.05,0.1958762886597938,0.01639344262295082,0.4,218,7,betting,3<=K<=5
0.2,15,4,6,2,4,0.3333333333333333,0.08888888888888889,0.1,0.4,188,7,betting,11<=K<=20
0.2,2,1,2,1,1,0.5,0.07142857142857142,0.25,0.4,220,7,betting,K>50
0.05,24,2,3,0,3,0.0,0.03488372093023256,0.0,0.4,333,8,betting,11<=K<=20
0.05,12,3,9,1,8,0.1111111111111111,0.16326530612244897,0.08333333333333333,0.4,339,8,betting,21<=K<=50
0.05,37,3,3,0,3,0.0,0.029411764705882353,0.0,0.4,268,8,betting,6<=K<=10
0.05,59,11,11,1,10,0.09090909090909091,0.10101010101010101,0.01694915254237288,0.4,207,8,betting,3<=K<=5
0.05,115,24,27,0,27,0.0,0.2872340425531915,0.0,0.4,126,8,betting,K<=2
0.05,4,0,0,0,0,0.0,0.0,0.0,0.4,261,8,betting,K>50
0.1,24,3,6,0,6,0.0,0.06976744186046512,0.0,0.4,333,8,betting,11<=K<=20
0.1,12,3,9,1,8,0.1111111111111111,0.16326530612244897,0.08333333333333333,0.4,339,8,betting,21<=K<=50
0.1,37,5,5,0,5,0.0,0.049019607843137254,0.0,0.4,268,8,betting,6<=K<=10
0.1,59,12,12,1,11,0.08333333333333333,0.1111111111111111,0.01694915254237288,0.4,207,8,betting,3<=K<=5
0.1,115,24,27,0,27,0.0,0.2872340425531915,0.0,0.4,126,8,betting,K<=2
0.1,4,0,0,0,0,0.0,0.0,0.0,0.4,261,8,betting,K>50
0.15,24,8,13,0,13,0.0,0.1511627906976744,0.0,0.4,333,8,betting,11<=K<=20
0.15,12,6,17,3,14,0.17647058823529413,0.2857142857142857,0.16666666666666666,0.4,339,8,betting,21<=K<=50
0.15,37,7,7,0,7,0.0,0.06862745098039216,0.0,0.4,268,8,betting,6<=K<=10
0.15,59,14,14,1,13,0.07142857142857142,0.13131313131313133,0.01694915254237288,0.4,207,8,betting,3<=K<=5
0.15,115,26,29,0,29,0.0,0.30851063829787234,0.0,0.4,126,8,betting,K<=2
0.15,4,0,0,0,0,0.0,0.0,0.0,0.4,261,8,betting,K>50
0.2,24,8,13,0,13,0.0,0.1511627906976744,0.0,0.4,333,8,betting,11<=K<=20
0.2,12,7,22,5,17,0.22727272727272727,0.3469387755102041,0.16666666666666666,0.4,339,8,betting,21<=K<=50
0.2,37,7,7,0,7,0.0,0.06862745098039216,0.0,0.4,268,8,betting,6<=K<=10
0.2,59,14,14,1,13,0.07142857142857142,0.13131313131313133,0.01694915254237288,0.4,207,8,betting,3<=K<=5
0.2,115,27,30,0,30,0.0,0.3191489361702128,0.0,0.4,126,8,betting,K<=2
0.2,4,1,1,0,1,0.0,0.1111111111111111,0.0,0.4,261,8,betting,K>50
0.05,34,4,4,0,4,0.0,0.044444444444444446,0.0,0.4,253,9,betting,6<=K<=10
0.05,65,12,15,1,14,0.06666666666666667,0.12727272727272726,0.015384615384615385,0.4,229,9,betting,3<=K<=5
0.05,17,1,1,0,1,0.0,0.01818181818181818,0.0,0.4,237,9,betting,11<=K<=20
0.05,125,24,26,0,26,0.0,0.2549019607843137,0.0,0.4,132,9,betting,K<=2
0.05,3,0,0,0,0,0.0,0.0,0.0,0.4,254,9,betting,K>50
0.05,7,0,0,0,0,0.0,0.0,0.0,0.4,204,9,betting,21<=K<=50
0.1,34,4,4,0,4,0.0,0.044444444444444446,0.0,0.4,253,9,betting,6<=K<=10
0.1,65,12,15,1,14,0.06666666666666667,0.12727272727272726,0.015384615384615385,0.4,229,9,betting,3<=K<=5
0.1,17,3,4,0,4,0.0,0.07272727272727272,0.0,0.4,237,9,betting,11<=K<=20
0.1,125,24,26,0,26,0.0,0.2549019607843137,0.0,0.4,132,9,betting,K<=2
0.1,3,0,0,0,0,0.0,0.0,0.0,0.4,254,9,betting,K>50
0.1,7,0,0,0,0,0.0,0.0,0.0,0.4,204,9,betting,21<=K<=50
0.15,34,7,8,0,8,0.0,0.08888888888888889,0.0,0.4,253,9,betting,6<=K<=10
0.15,65,24,32,3,29,0.09375,0.2636363636363636,0.046153846153846156,0.4,229,9,betting,3<=K<=5
0.15,17,7,12,1,11,0.08333333333333333,0.2,0.029411764705882353,0.4,237,9,betting,11<=K<=20
0.15,125,28,31,0,31,0.0,0.30392156862745096,0.0,0.4,132,9,betting,K<=2
0.15,3,0,0,0,0,0.0,0.0,0.0,0.4,254,9,betting,K>50
0.15,7,1,2,1,1,0.5,0.01818181818181818,0.07142857142857142,0.4,204,9,betting,21<=K<=50
0.2,34,7,8,0,8,0.0,0.08888888888888889,0.0,0.4,253,9,betting,6<=K<=10
0.2,65,25,34,3,31,0.08823529411764706,0.2818181818181818,0.046153846153846156,0.4,229,9,betting,3<=K<=5
0.2,17,7,12,1,11,0.08333333333333333,0.2,0.029411764705882353,0.4,237,9,betting,11<=K<=20
0.2,125,28,31,0,31,0.0,0.30392156862745096,0.0,0.4,132,9,betting,K<=2
0.2,3,1,6,1,5,0.16666666666666666,0.18518518518518517,0.05555555555555555,0.4,254,9,betting,K>50
0.2,7,1,2,1,1,0.5,0.01818181818181818,0.07142857142857142,0.4,204,9,betting,21<=K<=50
0.05,117,28,31,0,31,0.0,0.2897196261682243,0.0,0.4,127,10,betting,K<=2
0.05,26,3,3,0,3,0.0,0.04225352112676056,0.0,0.4,183,10,betting,6<=K<=10
0.05,68,13,15,0,15,0.0,0.12605042016806722,0.0,0.4,233,10,betting,3<=K<=5
0.05,29,3,5,0,5,0.0,0.05,0.0,0.4,389,10,betting,11<=K<=20
0.05,2,0,0,0,0,0.0,0.0,0.0,0.4,118,10,betting,K>50
0.05,9,0,0,0,0,0.0,0.0,0.0,0.4,270,10,betting,21<=K<=50
0.1,117,31,34,0,34,0.0,0.3177570093457944,0.0,0.4,127,10,betting,K<=2
0.1,26,5,5,0,5,0.0,0.07042253521126761,0.0,0.4,183,10,betting,6<=K<=10
0.1,68,15,19,0,19,0.0,0.15966386554621848,0.0,0.4,233,10,betting,3<=K<=5
0.1,29,7,13,0,13,0.0,0.13,0.0,0.4,389,10,betting,11<=K<=20
0.1,2,0,0,0,0,0.0,0.0,0.0,0.4,118,10,betting,K>50
0.1,9,3,14,10,4,0.7142857142857143,0.0975609756097561,0.2361111111111111,0.4,270,10,betting,21<=K<=50
0.15,117,32,36,0,36,0.0,0.3364485981308411,0.0,0.4,127,10,betting,K<=2
0.15,26,9,12,0,12,0.0,0.16901408450704225,0.0,0.4,183,10,betting,6<=K<=10
0.15,68,16,23,0,23,0.0,0.19327731092436976,0.0,0.4,233,10,betting,3<=K<=5
0.15,29,11,19,1,18,0.05263157894736842,0.18,0.034482758620689655,0.4,389,10,betting,11<=K<=20
0.15,2,0,0,0,0,0.0,0.0,0.0,0.4,118,10,betting,K>50
0.15,9,4,24,17,7,0.7083333333333334,0.17073170731707318,0.31096681096681095,0.4,270,10,betting,21<=K<=50
0.2,117,32,36,0,36,0.0,0.3364485981308411,0.0,0.4,127,10,betting,K<=2
0.2,26,9,12,0,12,0.0,0.16901408450704225,0.0,0.4,183,10,betting,6<=K<=10
0.2,68,16,23,0,23,0.0,0.19327731092436976,0.0,0.4,233,10,betting,3<=K<=5
0.2,29,11,19,1,18,0.05263157894736842,0.18,0.034482758620689655,0.4,389,10,betting,11<=K<=20
0.2,2,0,0,0,0,0.0,0.0,0.0,0.4,118,10,betting,K>50
0.2,9,4,24,17,7,0.7083333333333334,0.17073170731707318,0.31096681096681095,0.4,270,10,betting,21<=K<=50
