alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.15,1,1,5,0,5,0.0,0.16666666666666666,0.0,0.0,0,16,betting,K>30
0.2,122,40,49,3,46,0.061224489795918366,0.2967741935483871,0.02459016393442623,0.0,0,16,betting,K<=5
0.2,13,4,5,0,5,0.0,0.0641025641025641,0.0,0.0,0,16,betting,5<K<=30
0.2,1,1,5,0,5,0.0,0.16666666666666666,0.0,0.0,0,16,betting,K>30
0.05,122,0,0,0,0,0.0,0.0,0.0,0.0,0,17,betting,K<=5
0.05,13,0,0,0,0,0.0,0.0,0.0,0.0,0,17,betting,5<K<=30
0.05,1,0,0,0,0,0.0,0.0,0.0,0.0,0,17,betting,K>30
0.1,122,30,40,0,40,0.0,0.22988505747126436,0.0,0.0,0,17,betting,K<=5
0.1,13,0,0,0,0,0.0,0.0,0.0,0.0,0,17,betting,5<K<=30
0.1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,17,betting,K>30
0.15,122,40,53,1,52,0.018867924528301886,0.2988505747126437,0.004098360655737705,0.0,0,17,betting,K<=5
0.15,13,1,3,1,2,0.3333333333333333,0.03571428571428571,0.02564102564102564,0.0,0,17,betting,5<K<=30
0.15,1,0,0,0,0,0.0,0.0,0.0,0.0,0,17,betting,K>30
0.2,122,42,55,1,54,0.01818181818181818,0.3103448275862069,0.004098360655737705,0.0,0,17,betting,K<=5
0.2,13,1,3,1,2,0.3333333333333333,0.03571428571428571,0.02564102564102564,0.0,0,17,betting,5<K<=30
0.2,1,1,11,0,11,0.0,0.36666666666666664,0.0,0.0,0,17,betting,K>30
0.05,124,23,27,0,27,0.0,0.15789473684210525,0.0,0.0,0,18,betting,K<=5
0.05,12,2,4,1,3,0.25,0.041666666666666664,0.041666666666666664,0.0,0,18,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,0.0,0,18,betting,K>30
0.1,124,32,38,1,37,0.02631578947368421,0.21637426900584794,0.008064516129032258,0.0,0,18,betting,K<=5
0.1,12,4,6,1,5,0.16666666666666666,0.06944444444444445,0.041666666666666664,0.0,0,18,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,18,betting,K>30
0.15,124,41,52,2,50,0.038461538461538464,0.29239766081871343,0.016129032258064516,0.0,0,18,betting,K<=5
0.15,12,4,6,1,5,0.16666666666666666,0.06944444444444445,0.041666666666666664,0.0,0,18,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,0.0,0,18,betting,K>30
0.2,124,52,70,3,67,0.04285714285714286,0.391812865497076,0.020161290322580645,0.0,0,18,betting,K<=5
0.2,12,4,8,1,7,0.125,0.09722222222222222,0.020833333333333332,0.0,0,18,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,18,betting,K>30
0.05,122,13,14,0,14,0.0,0.08860759493670886,0.0,0.0,0,19,betting,K<=5
0.05,14,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,K>30
0.1,122,20,23,0,23,0.0,0.14556962025316456,0.0,0.0,0,19,betting,K<=5
0.1,14,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,K>30
0.15,122,24,27,0,27,0.0,0.17088607594936708,0.0,0.0,0,19,betting,K<=5
0.15,14,1,2,0,2,0.0,0.029411764705882353,0.0,0.0,0,19,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,K>30
0.2,122,26,29,0,29,0.0,0.18354430379746836,0.0,0.0,0,19,betting,K<=5
0.2,14,2,4,0,4,0.0,0.058823529411764705,0.0,0.0,0,19,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,19,betting,K>30
