alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.15,251,184,391,119,272,0.30434782608695654,0.6017699115044248,0.11778211437808343,0.2172961831092834,0.14637956112059697,0.14976694381456285,351,102,249,5,scoregate_family_crc
0.2,251,210,567,211,356,0.37213403880070545,0.7876106194690266,0.15795805915852046,0.1580796241760254,0.19658724409720427,0.19977538995396138,540,195,345,5,scoregate_family_crc
0.05,251,97,141,23,118,0.16312056737588654,0.2796208530805687,0.05136596471257825,0.3610380589962005,0.04238284955416429,0.04618291761148904,128,26,102,6,scoregate_family_crc
0.1,251,156,295,85,210,0.288135593220339,0.4976303317535545,0.10685560566038654,0.2321314364671707,0.09637798014292039,0.09996378180901991,325,93,232,6,scoregate_family_crc
0.15,251,197,447,154,293,0.34451901565995524,0.6943127962085308,0.15837960765896086,0.1792437732219696,0.14657029297291777,0.1499569187944538,497,177,320,6,scoregate_family_crc
0.2,251,211,582,239,343,0.4106529209621993,0.8127962085308057,0.22293513331751683,0.1431964486837387,0.19460738581783812,0.19780338825506893,627,269,358,6,scoregate_family_crc
0.05,251,86,118,15,103,0.1271186440677966,0.27034120734908135,0.021438057294630997,0.365305483341217,0.045470067780824755,0.049257884972170686,132,33,99,7,scoregate_family_crc
0.1,251,123,199,39,160,0.19597989949748743,0.4199475065616798,0.04503889205084424,0.2713046073913574,0.09454420081910121,0.09813727938727938,260,90,170,7,scoregate_family_crc
0.15,251,189,416,132,284,0.3173076923076923,0.7454068241469817,0.12146231727026197,0.1812930256128311,0.1452901914115882,0.14868189700122475,524,212,312,7,scoregate_family_crc
0.2,251,199,511,193,318,0.3776908023483366,0.8346456692913385,0.1663743066764847,0.1495788097381591,0.19634645631950529,0.1995355576833168,655,307,348,7,scoregate_family_crc
0.05,251,85,134,25,109,0.1865671641791045,0.24829157175398633,0.03738379814077025,0.3579322099685669,0.04333574791742122,0.04713203463203463,154,28,126,8,scoregate_family_crc
0.1,251,120,219,59,160,0.2694063926940639,0.36446469248291574,0.07698987599386005,0.2794305086135864,0.093132962654875,0.09673164137449851,235,65,170,8,scoregate_family_crc
0.15,251,175,378,116,262,0.30687830687830686,0.5968109339407744,0.12704948880247685,0.2164109945297241,0.14314171883893,0.1465419501133787,367,121,246,8,scoregate_family_crc
0.2,251,199,534,207,327,0.38764044943820225,0.744874715261959,0.16361076688590162,0.1741053164005279,0.19504557149241572,0.19823983509760454,513,200,313,8,scoregate_family_crc
0.05,251,96,143,19,124,0.13286713286713286,0.2824601366742597,0.04731075697211155,0.3450151681900024,0.04316069057104913,0.046957671957671955,155,27,128,9,scoregate_family_crc
0.1,251,152,317,72,245,0.22712933753943218,0.5580865603644647,0.09183662176690065,0.2429829388856887,0.09486182255106558,0.09845364071554548,274,73,201,9,scoregate_family_crc
0.15,251,197,514,178,336,0.3463035019455253,0.765375854214123,0.16946741080731437,0.1757175773382187,0.1457724656927844,0.14916225749559084,457,158,299,9,scoregate_family_crc
0.2,251,209,642,268,374,0.4174454828660436,0.8519362186788155,0.2087567464133613,0.1361767947673797,0.19560539062531093,0.19879743272600414,608,262,346,9,scoregate_family_crc
0.05,251,91,152,30,122,0.19736842105263158,0.270509977827051,0.03571859747158551,0.3510264456272125,0.04332669322709164,0.04712301587301587,158,27,131,10,scoregate_family_crc
0.1,251,168,325,82,243,0.2523076923076923,0.5388026607538803,0.09965376588882566,0.2308851480484008,0.09274858239001664,0.0963487864281515,307,89,218,10,scoregate_family_crc
0.15,251,212,537,186,351,0.3463687150837989,0.7782705099778271,0.16839489085505022,0.1728510707616806,0.14613494075645467,0.1495232941661513,503,177,326,10,scoregate_family_crc
0.2,251,219,652,266,386,0.40797546012269936,0.8558758314855875,0.19793547864264996,0.1349031776189804,0.19622767155264287,0.19941724428457683,649,287,362,10,scoregate_family_crc
