alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.1,537,203,533,186,347,0.34896810506566606,0.48194444444444445,0.10260922216570126,0.3264222741127014,0.09776811514434325,0.09944512608273666,433,145,288,9,scoregate_family_crc
0.15,537,246,820,421,399,0.5134146341463415,0.5541666666666667,0.19353802362256822,0.2523598968982696,0.14798437991093266,0.14956805206723206,587,259,328,9,scoregate_family_crc
0.2,537,263,956,531,425,0.555439330543933,0.5902777777777778,0.2323233212030117,0.2228399813175201,0.1954734452060382,0.19696884772424259,696,343,353,9,scoregate_family_crc
0.05,537,163,315,45,270,0.14285714285714285,0.4166666666666667,0.039660029604163684,0.440062016248703,0.04751204516567645,0.04928246887354693,283,52,231,10,scoregate_family_crc
0.1,537,196,421,97,324,0.23040380047505937,0.5,0.08552242295259055,0.3544856011867523,0.09626748813752636,0.09794728834544918,410,118,292,10,scoregate_family_crc
0.15,537,229,559,192,367,0.3434704830053667,0.566358024691358,0.14578138264649904,0.2842800617218017,0.14838213951917534,0.14996507234534787,566,221,345,10,scoregate_family_crc
0.2,537,259,686,291,395,0.42419825072886297,0.6095679012345679,0.20475717906588622,0.2446801960468292,0.1973357816814769,0.1988277226077195,725,339,386,10,scoregate_family_crc
0.05,537,174,326,67,259,0.20552147239263804,0.4130781499202552,0.05175322814987619,0.4161279201507568,0.046056984604470635,0.047830112885874965,349,69,280,11,scoregate_family_crc
0.1,537,211,478,158,320,0.3305439330543933,0.5103668261562998,0.1081213578116663,0.3137163519859314,0.09809884577109902,0.0997752419685505,661,309,352,11,scoregate_family_crc
0.15,537,233,600,245,355,0.4083333333333333,0.5661881977671451,0.15137902651869134,0.2710979580879211,0.14743291550233925,0.1490176126854204,830,452,378,11,scoregate_family_crc
0.2,537,258,744,361,383,0.4852150537634409,0.6108452950558214,0.20683653891676693,0.2297204583883285,0.19595281188694888,0.19744732338901777,1013,605,408,11,scoregate_family_crc
0.05,537,193,416,99,317,0.23798076923076922,0.3908754623921085,0.043171757110985885,0.4095342457294464,0.04738922881380981,0.04915988080486221,332,53,279,12,scoregate_family_crc
0.1,537,229,584,205,379,0.351027397260274,0.46732429099876693,0.10624365258772094,0.3335528373718261,0.09729432986563243,0.09897222144580783,530,204,326,12,scoregate_family_crc
0.15,537,248,719,301,418,0.41863699582753827,0.5154130702836005,0.13833341169051253,0.2883822321891784,0.14732781960435593,0.14891271213297236,652,293,359,12,scoregate_family_crc
0.2,537,282,951,482,469,0.5068349106203995,0.5782983970406905,0.2120883085620527,0.2336181998252868,0.1968302329541072,0.19832311356199922,829,431,398,12,scoregate_family_crc
0.05,537,166,287,55,232,0.1916376306620209,0.41207815275310833,0.04100756475058151,0.4269474148750305,0.0452272333993033,0.047001903969193064,452,148,304,13,scoregate_family_crc
0.1,537,209,423,139,284,0.32860520094562645,0.5044404973357016,0.09970900756059853,0.329100489616394,0.09663669003300193,0.0983158039920484,722,341,381,13,scoregate_family_crc
0.15,537,241,531,224,307,0.4218455743879473,0.5452930728241563,0.16521894495964276,0.2771532833576202,0.14821417267921183,0.1497974177114066,945,529,416,13,scoregate_family_crc
0.2,537,258,654,321,333,0.4908256880733945,0.5914742451154529,0.1995149319541722,0.2352631539106369,0.197088683463,0.1985810836796115,1169,717,452,13,scoregate_family_crc
0.05,537,156,315,45,270,0.14285714285714285,0.38516405135520687,0.036215258980622105,0.4280168414115906,0.048056144912079414,0.04982555728213131,317,56,261,14,scoregate_family_crc
0.1,537,191,463,126,337,0.27213822894168466,0.48074179743223966,0.078821669915932,0.3275640606880188,0.09828407454105777,0.09996012644711529,456,130,326,14,scoregate_family_crc
0.15,537,217,588,218,370,0.3707482993197279,0.5278174037089871,0.1324525564810943,0.2711627185344696,0.1471265620144895,0.1487118286278455,566,199,367,14,scoregate_family_crc
0.2,537,244,748,337,411,0.4505347593582888,0.5863052781740371,0.18760716611961342,0.2289468795061111,0.19735198848327337,0.19884389928534907,686,295,391,14,scoregate_family_crc
0.05,537,160,274,32,242,0.11678832116788321,0.34472934472934474,0.038640595903165736,0.4371495544910431,0.04763864969686787,0.04940883808033094,318,71,247,15,scoregate_family_crc
0.1,537,192,472,172,300,0.3644067796610169,0.42735042735042733,0.08115437056658976,0.3425470292568207,0.09791626264299395,0.0995929982142895,449,146,303,15,scoregate_family_crc
0.15,537,211,595,257,338,0.4319327731092437,0.48148148148148145,0.11691733736581379,0.2915657162666321,0.14625469580078518,0.1478415829833116,563,226,337,15,scoregate_family_crc
0.2,537,229,724,352,372,0.4861878453038674,0.5299145299145299,0.1529367849712212,0.2543368935585022,0.19729272641283813,0.1987847473674611,666,313,353,15,scoregate_family_crc
0.05,537,193,388,77,311,0.19845360824742267,0.41633199464524767,0.060680577440353975,0.3939220905303955,0.04622905027932961,0.04800185873605948,281,48,233,16,scoregate_family_crc
0.1,537,235,651,267,384,0.41013824884792627,0.5140562248995983,0.12667063514041457,0.3096763491630554,0.09793952426633992,0.09961621660041735,393,126,267,16,scoregate_family_crc
0.15,537,259,807,387,420,0.4795539033457249,0.5622489959839357,0.17740531005002372,0.2574103772640228,0.14731189806773112,0.1488968201902818,510,218,292,16,scoregate_family_crc
0.2,537,283,960,511,449,0.5322916666666667,0.6010709504685409,0.23258584489829984,0.2231625318527221,0.19666711722724659,0.19816030102422197,624,304,320,16,scoregate_family_crc
0.05,537,177,305,48,257,0.15737704918032788,0.4192495921696574,0.05243701053756919,0.4111637771129608,0.04686605674117997,0.048637681171029075,444,109,335,17,scoregate_family_crc
0.1,537,212,418,108,310,0.2583732057416268,0.5057096247960848,0.10640848437180717,0.327286958694458,0.09780031725819915,0.09947726834136236,707,317,390,17,scoregate_family_crc
0.15,537,245,560,212,348,0.37857142857142856,0.567699836867863,0.18012883709564617,0.267298549413681,0.14799974691665302,0.14958339050974473,910,481,429,17,scoregate_family_crc
0.2,537,269,681,305,376,0.447870778267254,0.6133768352365416,0.23176721633425543,0.2319087237119674,0.19740341849260667,0.1988952336998695,1060,605,455,17,scoregate_family_crc
0.05,537,176,345,59,286,0.17101449275362318,0.3552795031055901,0.0413341314179303,0.4194734692573547,0.047996703336828206,0.04976622619307946,285,48,237,18,scoregate_family_crc
0.1,537,211,598,243,355,0.40635451505016723,0.4409937888198758,0.09453380524186736,0.3259588778018951,0.09802776367022177,0.09970429199053735,410,116,294,18,scoregate_family_crc
0.15,537,231,729,329,400,0.4513031550068587,0.4968944099378882,0.13048376733379138,0.2841962575912475,0.148227814948121,0.14981103462293863,485,172,313,18,scoregate_family_crc
0.2,537,259,940,498,442,0.5297872340425532,0.5490683229813664,0.19408922817672764,0.239268496632576,0.19811625737456376,0.19960674760249209,599,258,341,18,scoregate_family_crc
0.05,537,188,422,96,326,0.22748815165876776,0.3862559241706161,0.048820933876799796,0.4269474148750305,0.04820222316114528,0.04997136401028813,255,43,212,19,scoregate_family_crc
0.1,537,223,666,273,393,0.4099099099099099,0.4656398104265403,0.09817077550143433,0.3427860140800476,0.09822204487008956,0.09989821207293326,348,97,251,19,scoregate_family_crc
0.15,537,250,862,421,441,0.48839907192575405,0.5225118483412322,0.14873310709081328,0.2834729552268982,0.1475267701828304,0.14911129291483258,447,162,285,19,scoregate_family_crc
0.2,537,267,996,528,468,0.5301204819277109,0.5545023696682464,0.18478505227243738,0.2518699765205383,0.19644163099470363,0.19793523391107035,532,229,303,19,scoregate_family_crc
