alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method
0.05,210,94,130,5,125,0.038461538461538464,0.32051282051282054,0.02023809523809524,0.3,386.0,17,binary
0.1,210,110,151,12,139,0.07947019867549669,0.3564102564102564,0.04880952380952381,0.3,386.0,17,binary
0.15,210,119,170,16,154,0.09411764705882353,0.39487179487179486,0.05714285714285714,0.3,386.0,17,binary
0.2,210,139,227,34,193,0.14977973568281938,0.4948717948717949,0.08587301587301586,0.3,386.0,17,binary
0.05,210,117,177,7,170,0.03954802259887006,0.4358974358974359,0.025,0.3,,17,pvalue_bh
0.1,210,136,213,18,195,0.08450704225352113,0.5,0.06437074829931973,0.3,,17,pvalue_bh
0.15,210,145,240,26,214,0.10833333333333334,0.5487179487179488,0.07937074829931974,0.3,,17,pvalue_bh
0.2,210,156,297,46,251,0.15488215488215487,0.6435897435897436,0.0982802382802383,0.3,,17,pvalue_bh
0.05,210,71,82,3,79,0.036585365853658534,0.21763085399449036,0.009523809523809525,0.3,351.0,18,betting
0.1,210,86,112,5,107,0.044642857142857144,0.29476584022038566,0.009523809523809525,0.3,351.0,18,betting
0.15,210,102,133,10,123,0.07518796992481203,0.33884297520661155,0.03333333333333333,0.3,351.0,18,betting
0.2,210,107,146,12,134,0.0821917808219178,0.3691460055096419,0.04047619047619048,0.3,351.0,18,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,351.0,18,binary
0.1,210,143,226,42,184,0.18584070796460178,0.5068870523415978,0.09801587301587303,0.3,351.0,18,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,351.0,18,binary
0.2,210,168,457,179,278,0.3916849015317287,0.7658402203856749,0.1393238243238243,0.3,351.0,18,binary
0.05,210,139,230,27,203,0.11739130434782609,0.559228650137741,0.06822562358276645,0.3,,18,pvalue_bh
0.1,210,157,299,61,238,0.2040133779264214,0.6556473829201102,0.10997354497354497,0.3,,18,pvalue_bh
0.15,210,166,432,162,270,0.375,0.743801652892562,0.13288732234567996,0.3,,18,pvalue_bh
0.2,210,168,457,179,278,0.3916849015317287,0.7658402203856749,0.1393238243238243,0.3,,18,pvalue_bh
0.05,210,56,63,0,63,0.0,0.1810344827586207,0.0,0.3,379.0,19,betting
0.1,210,92,112,7,105,0.0625,0.3017241379310345,0.02619047619047619,0.3,379.0,19,betting
0.15,210,93,114,7,107,0.06140350877192982,0.3074712643678161,0.02619047619047619,0.3,379.0,19,betting
0.2,210,104,133,8,125,0.06015037593984962,0.35919540229885055,0.027777777777777776,0.3,379.0,19,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,379.0,19,binary
0.1,210,0,0,0,0,0.0,0.0,0.0,0.3,379.0,19,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,379.0,19,binary
0.2,210,0,0,0,0,0.0,0.0,0.0,0.3,379.0,19,binary
0.05,210,125,179,17,162,0.09497206703910614,0.46551724137931033,0.04642857142857143,0.3,,19,pvalue_bh
0.1,210,135,212,26,186,0.12264150943396226,0.5344827586206896,0.058843537414965986,0.3,,19,pvalue_bh
0.15,210,149,247,37,210,0.14979757085020243,0.603448275862069,0.07868480725623583,0.3,,19,pvalue_bh
0.2,210,158,285,53,232,0.18596491228070175,0.6666666666666666,0.09840513983371128,0.3,,19,pvalue_bh
